,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
108,1929,1930,3,SOUND RECORDING,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)",Raffles,False,0
109,1929,1930,3,SOUND RECORDING,"(First National Studio Sound Department, George Groves, Sound Director)",Song of the Flame,False,0
110,1929,1930,3,WRITING,"(George Abbott), (Maxwell Anderson), (Del Andrews)",All Quiet on the Western Front,False,2
111,1929,1930,3,WRITING,Frances Marion,The Big House,True,2
112,1929,1930,3,WRITING,(Julian Josephson),Disraeli,False,1
113,1929,1930,3,WRITING,(John Meehan),The Divorcee,False,1
114,1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,False,0
115,1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True,1
116,1930,1931,4,ACTOR,Jackie Cooper,Skippy,False,1
117,1930,1931,4,ACTOR,Richard Dix,Cimarron,False,3
118,1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False,0
119,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False,0
120,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False,0
121,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True,1
122,1930,1931,4,ACTRESS,Irene Dunne,Cimarron,False,3
123,1930,1931,4,ACTRESS,Ann Harding,Holiday,False,0
124,1930,1931,4,ACTRESS,Norma Shearer,A Free Soul,False,1
125,1930,1931,4,ART DIRECTION,Max Rée,Cimarron,True,3
126,1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,False,0
127,1930,1931,4,ART DIRECTION,Hans Dreier,Morocco,False,0
128,1930,1931,4,ART DIRECTION,Anton Grot,Svengali,False,0
129,1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,False,0
130,1930,1931,4,CINEMATOGRAPHY,Edward Cronjager,Cimarron,False,3
131,1930,1931,4,CINEMATOGRAPHY,Lee Garmes,Morocco,False,0
132,1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,False,0
133,1930,1931,4,CINEMATOGRAPHY,"Barney ""Chick"" McGill",Svengali,False,0
134,1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,True,1
135,1930,1931,4,DIRECTING,Wesley Ruggles,Cimarron,False,3
136,1930,1931,4,DIRECTING,Clarence Brown,A Free Soul,False,1
137,1930,1931,4,DIRECTING,Lewis Milestone,The Front Page,False,0
138,1930,1931,4,DIRECTING,Josef Von Sternberg,Morocco,False,0
139,1930,1931,4,DIRECTING,Norman Taurog,Skippy,True,1
140,1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,True,3
141,1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,False,0
142,1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,False,0
143,1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,False,1
144,1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,False,0
145,1930,1931,4,SOUND RECORDING,Samuel Goldwyn - United Artists Studio Sound Department,,False,0
146,1930,1931,4,SOUND RECORDING,Metro-Goldwyn-Mayer Studio Sound Department,,False,0
147,1930,1931,4,SOUND RECORDING,Paramount Publix Studio Sound Department,,True,0
148,1930,1931,4,SOUND RECORDING,RKO Radio Studio Sound Department,,False,0
149,1930,1931,4,WRITING (Adaptation),Howard Estabrook,Cimarron,True,3
150,1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,False,0
