Title,AgeRating,Languages
The Rocky Horror Picture Show,['English'],
Manon of the Spring,['French'],
My Life as a Dog,['Swedish'],
The Killing Fields,"['English', 'French', 'Central Khmer', 'Russian']",
The Man Who Would Be King,"['English', 'Arabic', 'Urdu']",
Charade,"['English', 'French', 'German', 'Italian', 'Spanish']",
Clueless,"['English', 'Spanish']",
The Breakfast Club,['English'],
On the Waterfront,['English'],
A River Runs Through It,['English'],
Shadowlands,['English'],
The Searchers,"['English', 'Navajo', 'Spanish']",
Titanic,"['English', 'Swedish', 'Italian', 'French']",
L.A. Confidential,['English'],
Contact,"['English', 'Spanish', 'German', 'Russian']",
The Full Monty,['English'],
Sling Blade,['English'],
Breaking the Waves,['English'],
Double Indemnity,['English'],
Mr. Smith Goes to Washington,['English'],
Chasing Amy,['English'],
Shine,"['English', 'Yiddish']",
Hamlet,['English'],
Rebecca,"['English', 'French']",
Swingers,['English'],
Butch Cassidy and the Sundance Kid,"['English', 'Spanish']",
Jaws,['English'],
Notorious,"['English', 'French', 'Portuguese']",
Scream,['English'],
Bringing Up Baby,['English'],
Face/Off,"['English', 'Latin']",
The Conversation,['English'],
The Game,"['Spanish', 'Thai', 'English', 'Cantonese', 'German']",
Rain Man,"['English', 'Italian']",
MASH,"['Latin', 'English', 'Japanese', 'Korean']",
The Player,['English'],
Three Colors: White,"['Polish', 'French', 'English']",
The Fifth Element,"['English', 'Swedish', 'German', 'Arabic', 'Egyptian (Ancient)']",
Rebel Without a Cause,['English'],
The Untouchables,['English'],
Doctor Zhivago,"['English', 'Russian', 'French']",
Little Big Man,['English'],
Grosse Pointe Blank,['English'],
A Fish Called Wanda,"['English', 'Italian', 'Russian', 'French']",
Searching for Bobby Fischer,['English'],
Witness,"['English', 'German']",
Blood Simple,"['English', 'Spanish']",
Raising Arizona,['English'],
Dangerous Liaisons,['English'],
The Elephant Man,"['English', 'French']",
Crimes and Misdemeanors,"['English', 'Hebrew']",
Platoon,"['English', 'Vietnamese']",
Spartacus,['English'],
When Harry Met Sally...,['English'],
Short Cuts,['English'],
West Side Story,"['English', 'Spanish']",
Airplane!,['English'],
Snow White and the Seven Dwarfs,['English'],
Mary Poppins,['English'],
The Birds,['English'],
A Few Good Men,"['English', 'French']",
The People vs. Larry Flynt,['English'],
What's Eating Gilbert Grape,['English'],
Gallipoli,"['English', 'Arabic', 'French']",
The Producers,"['English', 'German']",
Dog Day Afternoon,['English'],
Papillon,"['English', 'Spanish']",
Deliverance,['English'],
Dial M for Murder,['English'],
Blue Velvet,['English'],
Men in Black,"['English', 'Spanish']",
Ed Wood,['English'],
The Hunt for Red October,"['English', 'Russian']",
Dances with Wolves,"['English', 'Sioux', 'Pawnee']",
Donnie Brasco,"['English', 'Italian', 'Japanese']",
Awakenings,['English'],
The Name of the Rose,"['English', 'Italian', 'Latin', 'German']",
Goldfinger,"['English', 'Chinese', 'Spanish']",
Cabaret,"['English', 'German', 'Hebrew', 'French']",
Jerry Maguire,"['English', 'American Sign Language']",
All the President's Men,"['English', 'Spanish']",
Saving Private Ryan,"['English', 'French', 'German', 'Czech']",
The Truman Show,['English'],
Good Will Hunting,['English'],
As Good as It Gets,['English'],
Strangers on a Train,"['English', 'French']",
The Sweet Hereafter,['English'],
It Happened One Night,['English'],
The Apartment,['English'],
There's Something About Mary,['English'],
A Streetcar Named Desire,"['English', 'Spanish']",
Pleasantville,['English'],
The Spanish Prisoner,['English'],
Witness for the Prosecution,"['English', 'German']",
Network,['English'],
Close Encounters of the Third Kind,"['English', 'French', 'Spanish', 'Hindi']",
Midnight Cowboy,"['English', 'Italian']",
The Ice Storm,['English'],
Antz,['English'],
Out of Sight,"['English', 'Spanish']",
The Adventures of Robin Hood,['English'],
Boyz n the Hood,['English'],
The French Connection,"['English', 'French']",
The Ten Commandments,['English'],
American Graffiti,['English'],
Bonnie and Clyde,['English'],
The Magnificent Seven,"['English', 'Spanish']",
Casino,['English'],
Ferris Bueller's Day Off,"['English', 'German']",
The Jungle Book,['English'],
Say Anything,['English'],
Gattaca,"['English', 'Esperanto']",
The Big Lebowski,"['English', 'German', 'Hebrew', 'Spanish']",
My Left Foot,['English'],
Blazing Saddles,"['English', 'Yiddish', 'German']",
Midnight Run,['English'],
The Last Emperor,"['English', 'Mandarin', 'Japanese']",
American Beauty,['English'],
Toy Story 2,"['English', 'Arabic', 'Spanish']",
Being John Malkovich,['English'],
The Sixth Sense,"['English', 'Latin', 'Spanish']",
Life Is Beautiful,"['Italian', 'German', 'English']",
The Green Mile,"['English', 'French']",
Fight Club,['English'],
The Matrix,['English'],
How the Grinch Stole Christmas!,['English'],
Run Lola Run,"['German', 'English', 'Japanese']",
Bicycle Thieves,"['Italian', 'English', 'German']",
American History X,['English'],
The General,['English'],
The Iron Giant,['English'],
The Celebration,"['Danish', 'German', 'English']",
The 400 Blows,"['French', 'English']",
Shakespeare in Love,['English'],
Yojimbo,['Japanese'],
Wild Strawberries,"['Swedish', 'Latin']",
All About My Mother,"['Spanish', 'Catalan']",
The Best Years of Our Lives,['English'],
The Night of the Hunter,['English'],
The Grapes of Wrath,['English'],
"Lock, Stock and Two Smoking Barrels",['English'],
Princess Mononoke,['Japanese'],
All Quiet on the Western Front,"['English', 'French', 'German', 'Latin']",
Three Kings,"['English', 'Arabic']",
