Title,Languages,AgeRating
Birdman or (The Unexpected Virtue of Ignorance),R,['English']
,,
Groundhog Day,PG,"['English', 'French', 'Italian']"
,,
Twelve Monkeys,R,"['English', 'French']"
,,
Heat,R,"['English', 'Spanish']"
,,
Argo,R,"['English', 'Persian', 'German', 'Arabic']"
,,
Frozen,PG,"['English', 'Norwegian']"
,,
Into the Wild,R,"['English', 'Danish']"
,,
X-Men,PG-13,['English']
,,
Ted,R,[]
,,
Drive,R,"['English', 'Spanish']"
,,
Prometheus,R,"['English', 'Gaelic']"
,,
Ant-Man,PG-13,['English']
,,
Taken,PG-13,"['English', 'French', 'Albanian', 'Arabic']"
,,
Guardians of the Galaxy Vol. 2,PG-13,['English']
,,
Star Wars: Episode VIII - The Last Jedi,PG-13,['English']
,,
The Amazing Spider-Man,PG-13,['English']
,,
Rogue One,PG-13,['English']
,,
Harry Potter and the Chamber of Secrets,PG,"['English', 'Latin']"
,,
Dunkirk,PG-13,"['English', 'French', 'German']"
,,
Harry Potter and the Prisoner of Azkaban,PG,"['English', 'Latin', 'Old English']"
,,
Wonder Woman,PG-13,"['English', 'German', 'Dutch', 'Flemish', 'French', 'Spanish', 'Chinese', 'Greek, Ancient (to 1453)', 'North American Indian']"
,,
Harry Potter and the Goblet of Fire,PG-13,"['English', 'French', 'Latin']"
,,
Jaws,PG,['English']
,,
Spider-Man 2,PG-13,"['English', 'Russian', 'Chinese']"
,,
Her,R,['English']
,,
Once Upon a Time... in Hollywood,R,"['English', 'Italian', 'Spanish', 'German']"
,,
Looper,R,"['English', 'French']"
,,
"Lock, Stock and Two Smoking Barrels",R,['English']
,,
John Wick,R,"['English', 'Russian', 'Hungarian']"
,,
L.A. Confidential,R,['English']
,,
Independence Day,PG-13,['English']
,,
Limitless,PG-13,"['English', 'Russian', 'Italian', 'Mandarin', 'French']"
,,
Toy Story 2,G,"['English', 'Arabic', 'Spanish']"
,,
Kick-Ass,R,['English']
,,
Cast Away,PG-13,"['English', 'Russian']"
,,
Gisaengchung,R,"['Korean', 'English']"
,,
Casablanca,PG,"['English', 'French', 'German', 'Italian']"
,,
Superbad,R,['English']
,,
Zombieland,R,"['English', 'Spanish', 'French']"
,,
The Notebook,PG-13,['English']
,,
Rocky,PG,['English']
,,
Men in Black,PG-13,"['English', 'Spanish']"
,,
Ocean's Eleven,PG-13,"['English', 'Italian', 'Cantonese']"
,,
The Matrix Reloaded,(Banned),"['English', 'French']"
,,
There Will Be Blood,R,"['English', 'American Sign Language']"
,,
Oldeuboi,R,['Korean']
,,
The Hateful Eight,R,"['English', 'Spanish', 'French']"
,,
X2,PG-13,"['English', 'German', 'Italian', 'Spanish']"
,,
Shaun of the Dead,R,['English']
,,
21 Jump Street,R,['English']
,,
