,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
150,61,Butch and Sundance: The Early Days,"$5,136,913",1979,"$5,136,913",100%,-,-
151,62,Players,"$4,896,094",1979,"$4,896,094",100%,-,-
152,63,The Great Santini,"$4,702,575",1979,"$4,702,575",100%,-,-
153,64,Yanks,"$3,931,010",1979,"$3,931,010",100%,-,-
154,65,Lost and Found,"$3,223,197",1979,"$3,223,197",100%,-,-
155,66,Hanover Street,"$3,000,000",1979,"$3,000,000",100%,-,-
156,67,Voices,"$2,631,244",1979,"$2,631,244",100%,-,-
157,68,Wanda Nevada,"$2,411,145",1979,"$2,411,145",100%,-,-
158,69,Sunburn,"$2,410,776",1979,"$2,410,776",100%,-,-
159,70,Rich Kids,"$1,856,122",1979,"$1,856,122",100%,-,-
160,71,Walk Proud,"$1,675,040",1979,"$1,675,040",100%,-,-
161,72,Last Embrace,"$1,537,125",1979,"$1,537,125",100%,-,-
162,73,Goldengirl,"$1,247,376",1979,"$1,247,376",100%,-,-
163,74,The Passage,"$1,101,186",1979,"$1,101,186",100%,-,-
164,75,Winter Kills,"$1,083,799",1979,"$1,083,799",100%,-,-
165,76,City on Fire,"$784,181",1979,"$784,181",100%,-,-
166,77,"A Man, a Woman and a Bank","$683,353",1979,"$683,353",100%,-,-
167,78,Five Days from Home,"$641,768",1979,"$641,768",100%,-,-
168,79,Fast Charlie... the Moonbeam Rider,"$444,334",1979,"$444,334",100%,-,-
169,80,The Human Factor,"$376,050",1979,"$376,050",100%,-,-
170,81,Real Life,"$364,642",1979,"$364,642",100%,-,-
171,82,An Almost Perfect Affair,"$85,493",1979,"$85,493",100%,-,-
172,83,Nest of Vipers,"$27,182",1979,"$27,182",100%,-,-
173,84,The Milky Way,"$2,893",1979,-,-,"$2,893",100%
174,1,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025",1980,"$209,398,025",100%,-,-
175,2,9 to 5,"$103,290,500",1980,"$103,290,500",100%,-,-
176,3,Stir Crazy,"$101,300,000",1980,"$101,300,000",100%,-,-
177,4,Airplane!,"$83,453,539",1980,"$83,453,539",100%,-,-
178,5,Any Which Way You Can,"$70,687,344",1980,"$70,687,344",100%,-,-
179,6,Private Benjamin,"$69,847,348",1980,"$69,847,348",100%,-,-
180,7,Coal Miner's Daughter,"$67,182,787",1980,"$67,182,787",100%,-,-
181,8,Smokey and the Bandit II,"$66,132,626",1980,"$66,132,626",100%,-,-
182,9,The Blue Lagoon,"$58,853,106",1980,"$58,853,106",100%,-,-
183,10,The Blues Brothers,"$57,230,581",1980,"$57,229,890",100%,$691,<0.1%
184,11,Ordinary People,"$54,766,923",1980,"$54,766,923",100%,-,-
185,12,Popeye,"$49,823,037",1980,"$49,823,037",100%,-,-
186,13,Urban Cowboy,"$46,918,287",1980,"$46,918,287",100%,-,-
187,14,The Shining,"$44,017,374",1980,"$44,017,374",100%,-,-
188,15,Seems Like Old Times,"$43,995,918",1980,"$43,995,918",100%,-,-
189,16,Cheech and Chong's Next Movie,"$41,675,194",1980,"$41,675,194",100%,-,-
190,17,Caddyshack,"$39,846,344",1980,"$39,846,344",100%,-,-
191,18,Friday the 13th,"$39,754,601",1980,"$39,754,601",100%,-,-
192,19,Brubaker,"$37,121,708",1980,"$37,121,708",100%,-,-
193,20,Little Darlings,"$34,326,249",1980,"$34,326,249",100%,-,-
194,21,Dressed to Kill,"$31,899,000",1980,"$31,899,000",100%,-,-
195,22,The Jazz Singer,"$27,118,000",1980,"$27,118,000",100%,-,-
196,23,Flash Gordon,"$27,107,960",1980,"$27,107,960",100%,-,-
197,24,Lady and the Tramp 1980 Re-release,"$26,114,207",1980,"$26,114,207",100%,-,-
198,25,The Elephant Man,"$26,010,864",1980,"$26,010,864",100%,-,-
199,26,Bronco Billy,"$24,265,659",1980,"$24,265,659",100%,-,-
200,27,Raging Bull,"$23,334,953",1980,"$23,334,953",100%,-,-
201,28,Xanadu,"$22,762,571",1980,"$22,762,571",100%,-,-
202,29,American Gigolo,"$22,743,674",1980,"$22,743,674",100%,-,-
203,30,My Bodyguard,"$22,482,952",1980,"$22,482,952",100%,-,-
204,31,The Fog,"$21,378,361",1980,"$21,378,361",100%,-,-
205,32,Fame,"$21,202,829",1980,"$21,202,829",100%,-,-
206,33,Tess,"$20,093,330",1980,"$20,093,330",100%,-,-
207,34,Altered States,"$19,853,892",1980,"$19,853,892",100%,-,-
208,35,Song of the South,"$19,800,000",1980,"$19,800,000",100%,-,-
209,36,Cruising,"$19,784,223",1980,"$19,784,223",100%,-,-
210,37,The Octagon,"$18,971,000",1980,"$18,971,000",100%,-,-
211,38,The Aristocats,"$18,000,000",1980,"$18,000,000",100%,-,-
212,39,Honeysuckle Rose,"$17,815,212",1980,"$17,815,212",100%,-,-
213,40,Herbie Goes Bananas,"$17,000,000",1980,"$17,000,000",100%,-,-
214,41,Rough Cut,"$16,656,125",1980,"$16,656,125",100%,-,-
215,42,The Final Countdown,"$16,647,800",1980,"$16,647,800",100%,-,-
216,43,The Hunter,"$16,274,150",1980,"$16,274,150",100%,-,-
217,44,Hero at Large,"$15,934,737",1980,"$15,934,737",100%,-,-
218,45,The Long Riders,"$15,795,189",1980,"$15,795,189",100%,-,-
219,46,The Island,"$15,716,828",1980,"$15,716,828",100%,-,-
220,47,Close Encounters of the Third Kind 1980 Special Edition,"$15,693,175",1980,"$15,693,175",100%,-,-
221,48,First Family,"$15,198,912",1980,"$15,198,912",100%,-,-
222,49,Prom Night,"$14,796,236",1980,"$14,796,236",100%,-,-
223,50,The Nude Bomb,"$14,662,035",1980,"$14,662,035",100%,-,-
224,51,"Oh, God! Book II","$14,504,277",1980,"$14,504,277",100%,-,-
225,52,The Competition,"$14,287,755",1980,"$14,287,755",100%,-,-
226,53,Wholly Moses!,"$14,155,617",1980,"$14,155,617",100%,-,-
227,54,Mary Poppins 1980 Re-release,"$14,000,000",1980,"$14,000,000",100%,-,-
228,55,The Last Married Couple in America,"$12,835,544",1980,"$12,835,544",100%,-,-
229,56,Used Cars,"$11,715,321",1980,"$11,715,321",100%,-,-
230,57,The Last Flight of Noah's Ark,"$11,000,000",1980,"$11,000,000",100%,-,-
231,58,The Mirror Crack'd,"$11,000,000",1980,"$11,000,000",100%,-,-
232,59,The Fiendish Plot of Dr. Fu Manchu,"$10,697,276",1980,"$10,697,276",100%,-,-
233,60,Stardust Memories,"$10,389,003",1980,"$10,389,003",100%,-,-
234,61,The Hollywood Knights,"$10,000,000",1980,"$10,000,000",100%,-,-
235,62,Serial,"$9,870,727",1980,"$9,870,727",100%,-,-
236,63,Somewhere in Time,"$9,709,597",1980,"$9,709,597",100%,-,-
237,64,Saturn 3,"$9,000,000",1980,"$9,000,000",100%,-,-
238,65,Tribute,"$9,000,000",1980,"$9,000,000",100%,-,-
239,66,The Formula,"$8,894,289",1980,"$8,894,289",100%,-,-
240,67,Mad Max,"$8,750,000",1980,"$8,750,000",100%,-,-
241,68,Battle Creek Brawl,"$8,527,743",1980,"$8,527,743",100%,-,-
242,69,The Awakening,"$8,415,112",1980,"$8,415,112",100%,-,-
243,70,Fatso,"$7,653,061",1980,"$7,653,061",100%,-,-
244,71,How to Become a Detective,"$7,500,000",1980,"$7,500,000",100%,-,-
245,72,How to Beat the High Cost of Living,"$7,500,000",1980,"$7,500,000",100%,-,-
246,73,Foxes,"$7,470,348",1980,"$7,470,348",100%,-,-
247,74,The Big Red One,"$7,206,220",1980,"$7,206,220",100%,-,-
248,75,The Stunt Man,"$7,063,886",1980,"$7,063,886",100%,-,-
249,76,Where the Buffalo Roam,"$6,659,377",1980,"$6,659,377",100%,-,-
250,77,The Gong Show Movie,"$6,621,520",1980,"$6,621,520",100%,-,-
251,78,Motel Hell,"$6,342,668",1980,"$6,342,668",100%,-,-
252,79,Little Miss Marker,"$6,321,392",1980,"$6,321,392",100%,-,-
253,80,Oh Heavenly Dog,"$6,216,067",1980,"$6,216,067",100%,-,-
254,81,Divine Madness,"$5,318,098",1980,"$5,318,098",100%,-,-
255,82,In God We Trust (or Gimme That Prime Time Religion),"$5,215,015",1980,"$5,215,015",100%,-,-
256,83,He Knows You're Alone,"$4,875,436",1980,"$4,875,436",100%,-,-
257,84,Coast to Coast,"$4,495,445",1980,"$4,495,445",100%,-,-
258,85,Melvin and Howard,"$4,309,490",1980,"$4,309,490",100%,-,-
259,86,Roadie,"$4,226,370",1980,"$4,226,370",100%,-,-
260,87,Gloria,"$4,059,673",1980,"$4,059,673",100%,-,-
261,88,Jaws 2 1980 Re-release,"$4,028,735",1980,"$4,028,735",100%,-,-
262,89,Kagemusha,"$4,000,000",1980,"$4,000,000",100%,-,-
263,90,Resurrection,"$3,910,019",1980,"$3,910,019",100%,-,-
264,91,Hide in Plain Sight,"$3,806,930",1980,"$3,806,930",100%,-,-
265,92,Guyana: Cult of the Damned,"$3,798,102",1980,"$3,798,102",100%,-,-
266,93,When Time Ran Out...,"$3,763,988",1980,"$3,763,988",100%,-,-
267,94,Heaven's Gate,"$3,484,331",1980,"$3,484,331",100%,-,-
268,95,North Sea Hijack,"$2,993,772",1980,"$2,993,772",100%,-,-
269,96,Midnight Madness,"$2,900,000",1980,"$2,900,000",100%,-,-
270,97,Loving Couples,"$2,806,659",1980,"$2,806,659",100%,-,-
271,98,The Idolmaker,"$2,625,716",1980,"$2,625,716",100%,-,-
272,99,The Black Marble,"$2,500,000",1980,"$2,500,000",100%,-,-
273,100,Gilda Live,"$2,261,507",1980,"$2,261,507",100%,-,-
274,101,Windows,"$2,128,395",1980,"$2,128,395",100%,-,-
275,102,Just Tell Me What You Want,"$2,086,905",1980,"$2,086,905",100%,-,-
276,103,"Bon Voyage, Charlie Brown (and Don't Come Back!!)","$2,013,193",1980,"$2,013,193",100%,-,-
277,104,Carny,"$1,817,720",1980,"$1,817,720",100%,-,-
278,105,When a Stranger Calls 1980 Re-release,"$1,262,052",1980,"$1,262,052",100%,-,-
279,106,Why Would I Lie?,"$1,175,855",1980,"$1,175,855",100%,-,-
280,107,Nijinsky,"$1,047,454",1980,"$1,047,454",100%,-,-
281,108,Heart Beat,"$954,046",1980,"$954,046",100%,-,-
282,109,One-Trick Pony,"$843,215",1980,"$843,215",100%,-,-
283,110,"Those Lips, Those Eyes","$804,713",1980,"$804,713",100%,-,-
284,111,A Small Circle of Friends,"$766,760",1980,"$766,760",100%,-,-
285,112,Leo and Loree,"$517,988",1980,"$517,988",100%,-,-
286,113,Home Movies,"$89,134",1980,"$89,134",100%,-,-
287,114,Phobia,"$59,167",1980,"$59,167",100%,-,-
288,115,Stalker 2019 Re-release,"$11,757",1980,-,-,"$11,757",100%
289,116,Breaking Glass,"$2,471",1980,"$2,471",100%,-,-
290,1,Indiana Jones and the Raiders of the Lost Ark,"$212,222,025",1981,"$212,222,025",100%,-,-
291,2,On Golden Pond,"$119,285,432",1981,"$119,285,432",100%,-,-
292,3,Superman II,"$108,185,706",1981,"$108,185,706",100%,-,-
293,4,Arthur,"$95,461,682",1981,"$95,461,682",100%,-,-
294,5,Stripes,"$85,297,000",1981,"$85,297,000",100%,-,-
295,6,The Cannonball Run,"$72,179,579",1981,"$72,179,579",100%,-,-
296,7,Chariots of Fire,"$58,972,904",1981,"$58,972,904",100%,-,-
297,8,For Your Eyes Only,"$54,812,802",1981,"$54,812,802",100%,-,-
298,9,The Four Seasons,"$50,427,646",1981,"$50,427,646",100%,-,-
299,10,Time Bandits,"$42,365,581",1981,"$42,365,581",100%,-,-
300,11,Clash of the Titans,"$41,092,328",1981,"$41,092,328",100%,-,-
301,12,Absence of Malice,"$40,716,963",1981,"$40,716,963",100%,-,-
302,13,Reds,"$40,382,659",1981,"$40,382,659",100%,-,-
303,14,The Fox and the Hound,"$39,900,000",1981,"$39,900,000",100%,-,-
304,15,Tarzan the Ape Man,"$36,565,280",1981,"$36,565,280",100%,-,-
305,16,Taps,"$35,856,053",1981,"$35,856,053",100%,-,-
306,17,Sharky's Machine,"$35,610,100",1981,"$35,610,100",100%,-,-
307,18,Excalibur,"$34,967,437",1981,"$34,967,437",100%,-,-
308,19,Endless Love,"$32,492,674",1981,"$31,184,024",96%,"$1,308,650",4%
309,20,History of the World: Part I,"$31,672,907",1981,"$31,672,907",100%,-,-
310,21,Bustin' Loose,"$31,261,269",1981,"$31,261,269",100%,-,-
311,22,The Great Muppet Caper,"$31,206,251",1981,"$31,206,251",100%,-,-
312,23,An American Werewolf in London,"$30,565,292",1981,"$30,565,292",100%,-,-
313,24,Neighbors,"$29,916,207",1981,"$29,916,207",100%,-,-
314,25,Fort Apache the Bronx,"$29,200,000",1981,"$29,200,000",100%,-,-
315,26,Cinderella 1981 Re-release,"$28,040,000",1981,"$28,040,000",100%,-,-
316,27,The French Lieutenant's Woman,"$26,890,068",1981,"$26,890,068",100%,-,-
317,28,Private Lessons,"$26,279,000",1981,"$26,279,000",100%,-,-
318,29,Modern Problems,"$26,154,211",1981,"$26,154,211",100%,-,-
319,30,Halloween II,"$25,533,818",1981,"$25,533,818",100%,-,-
320,31,Only When I Laugh,"$25,524,778",1981,"$25,524,778",100%,-,-
321,32,Escape from New York,"$25,244,626",1981,"$25,244,626",100%,-,-
322,33,Body Heat,"$24,058,838",1981,"$24,058,838",100%,-,-
323,34,Ghost Story,"$23,371,905",1981,"$23,371,905",100%,-,-
324,35,Friday the 13th Part 2,"$21,722,776",1981,"$21,722,776",100%,-,-
325,36,The Final Conflict,"$20,471,382",1981,"$20,471,382",100%,-,-
326,37,The Incredible Shrinking Woman,"$20,259,961",1981,"$20,259,961",100%,-,-
327,38,Mommie Dearest,"$19,032,261",1981,"$19,032,261",100%,-,-
328,39,Paternity,"$18,838,812",1981,"$18,838,812",100%,-,-
329,40,Under the Rainbow,"$18,826,490",1981,"$18,826,490",100%,-,-
330,41,The Howling,"$17,985,893",1981,"$17,985,893",100%,-,-
331,42,Eye of the Needle,"$17,583,634",1981,"$17,583,634",100%,-,-
332,43,Take This Job and Shove It,"$17,569,027",1981,"$17,569,027",100%,-,-
333,44,Outland,"$17,374,595",1981,"$17,374,595",100%,-,-
334,45,The Devil and Max Devlin,"$16,000,000",1981,"$16,000,000",100%,-,-
335,46,Caveman,"$15,965,924",1981,"$15,965,924",100%,-,-
336,47,Continental Divide,"$15,578,237",1981,"$15,578,237",100%,-,-
337,48,The Night the Lights Went Out in Georgia,"$14,923,752",1981,"$14,923,752",100%,-,-
338,49,Ragtime,"$14,920,781",1981,"$14,920,781",100%,-,-
339,50,Nighthawks,"$14,905,359",1981,"$14,905,359",100%,-,-
340,51,S.O.B.,"$14,867,086",1981,"$14,867,086",100%,-,-
341,52,Rich and Famous,"$14,492,125",1981,"$14,492,125",100%,-,-
342,53,Scanners,"$14,225,876",1981,"$14,225,876",100%,-,-
343,54,Dragonslayer,"$14,110,013",1981,"$14,110,013",100%,-,-
344,55,True Confessions,"$12,850,276",1981,"$12,850,276",100%,-,-
345,56,Atlantic City,"$12,729,675",1981,"$12,729,675",100%,-,-
346,57,The Legend of the Lone Ranger,"$12,617,845",1981,"$12,617,845",100%,-,-
347,58,First Monday in October,"$12,480,249",1981,"$12,480,249",100%,-,-
348,59,The Postman Always Rings Twice,"$12,376,625",1981,"$12,376,625",100%,-,-
349,60,Blow Out,"$12,000,000",1981,"$12,000,000",100%,-,-
350,61,Back Roads,"$11,809,387",1981,"$11,809,387",100%,-,-
351,62,Thief,"$11,492,915",1981,"$11,492,915",100%,-,-
352,63,Victory,"$10,853,418",1981,"$10,853,418",100%,-,-
353,64,Rollover,"$10,851,261",1981,"$10,851,261",100%,-,-
354,65,Wolfen,"$10,626,725",1981,"$10,626,725",100%,-,-
355,66,Carbon Copy,"$9,566,593",1981,"$9,566,593",100%,-,-
356,67,Pennies from Heaven,"$9,171,289",1981,"$9,171,289",100%,-,-
357,68,Deadly Blessing,"$8,279,042",1981,"$8,279,042",100%,-,-
358,69,Whose Life Is It Anyway?,"$8,206,145",1981,"$8,206,145",100%,-,-
359,70,Prince of the City,"$8,124,257",1981,"$8,124,257",100%,-,-
360,71,The Funhouse,"$7,886,857",1981,"$7,886,857",100%,-,-
