,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
3799,160,Mumford,"$4,555,459",1999,"$4,555,459",100%,-,-
3800,161,Sweet and Lowdown,"$4,525,794",1999,"$4,197,015",92.7%,"$328,779",7.3%
3801,162,Flawless,"$4,488,529",1999,"$4,488,529",100%,-,-
3802,163,Simply Irresistible,"$4,398,989",1999,"$4,398,989",100%,-,-
3803,164,Detroit Rock City,"$4,217,115",1999,"$4,217,115",100%,-,-
3804,165,Gloria,"$4,197,729",1999,"$4,197,729",100%,-,-
3805,166,Idle Hands,"$4,152,230",1999,"$4,152,230",100%,-,-
3806,167,Le Dîner de Cons,"$4,071,548",1999,"$4,071,548",100%,-,-
3807,168,Playing by Heart,"$3,970,078",1999,"$3,970,078",100%,-,-
3808,169,The Winslow Boy,"$3,957,934",1999,"$3,957,934",100%,-,-
3809,170,"Lock, Stock and Two Smoking Barrels","$3,753,929",1999,"$3,753,929",100%,-,-
3810,171,Liberty Heights,"$3,736,868",1999,"$3,736,868",100%,-,-
3811,172,Fifty,"$3,328,240",1999,"$3,328,240",100%,-,-
3812,173,Elvis Gratton II: Miracle à Memphis,"$3,316,272",1999,"$3,316,272",100%,-,-
3813,174,Train of Life,"$3,311,162",1999,"$98,687",3%,"$3,212,475",97%
3814,175,The Limey,"$3,204,663",1999,"$3,204,663",100%,-,-
3815,176,Jawbreaker,"$3,117,085",1999,"$3,117,085",100%,-,-
3816,177,Love Stinks,"$2,924,635",1999,"$2,924,635",100%,-,-
3817,178,Cradle Will Rock,"$2,903,404",1999,"$2,903,404",100%,-,-
3818,179,eXistenZ,"$2,856,712",1999,"$2,856,712",100%,-,-
3819,180,Autumn Tale,"$2,215,467",1999,"$2,205,339",99.5%,"$10,128",0.5%
3820,181,A Dog of Flanders,"$2,165,637",1999,"$2,165,637",100%,-,-
3821,182,Limbo,"$2,160,710",1999,"$2,160,710",100%,-,-
3822,183,Trick,"$2,087,228",1999,"$2,087,228",100%,-,-
3823,184,Ravenous,"$2,062,405",1999,"$2,062,405",100%,-,-
3824,185,Beyond the Mat,"$2,053,648",1999,"$2,053,648",100%,-,-
3825,186,Besieged,"$2,048,740",1999,"$2,048,740",100%,-,-
3826,187,Wildfire: Feel the Heat,"$2,040,635",1999,"$2,040,635",100%,-,-
3827,188,Three Seasons,"$2,021,698",1999,"$2,021,698",100%,-,-
3828,189,Taal,"$2,020,532",1999,"$2,020,532",100%,-,-
3829,190,Better Than Chocolate,"$2,015,406",1999,"$2,015,406",100%,-,-
3830,191,Titus,"$2,007,290",1999,"$2,007,290",100%,-,-
3831,192,Crazy in Alabama,"$2,005,840",1999,"$2,005,840",100%,-,-
3832,193,Hum Saath-Saath Hain,"$2,005,094",1999,"$2,005,094",100%,-,-
3833,194,"Happy, Texas","$1,955,933",1999,"$1,955,933",100%,-,-
3834,195,Goodbye Lover,"$1,940,299",1999,"$1,940,299",100%,-,-
3835,196,Tango,"$1,897,948",1999,"$1,897,948",100%,-,-
3836,197,Holy Smoke,"$1,765,545",1999,"$1,765,545",100%,-,-
3837,198,The Dreamlife of Angels,"$1,726,567",1999,"$1,726,567",100%,-,-
3838,199,Romance,"$1,585,642",1999,"$1,585,642",100%,-,-
3839,200,Asterix and Obelix vs. Caesar,"$1,541,261",1999,"$1,541,261",100%,-,-
3840,1,Mission: Impossible II,"$546,388,108",2000,"$215,409,889",39.4%,"$330,978,219",60.6%
3841,2,Gladiator,"$460,583,960",2000,"$187,705,427",40.8%,"$272,878,533",59.2%
3842,3,Cast Away,"$429,632,142",2000,"$233,632,142",54.4%,"$196,000,000",45.6%
3843,4,What Women Want,"$374,111,707",2000,"$182,811,707",48.9%,"$191,300,000",51.1%
3844,5,Dinosaur,"$349,822,765",2000,"$137,748,063",39.4%,"$212,074,702",60.6%
3845,6,How the Grinch Stole Christmas,"$345,141,403",2000,"$260,044,825",75.3%,"$85,096,578",24.7%
3846,7,Meet the Parents,"$330,444,045",2000,"$166,244,045",50.3%,"$164,200,000",49.7%
3847,8,The Perfect Storm,"$328,718,434",2000,"$182,618,434",55.6%,"$146,100,000",44.4%
3848,9,X-Men,"$296,339,528",2000,"$157,299,718",53.1%,"$139,039,810",46.9%
3849,10,What Lies Beneath,"$291,420,351",2000,"$155,464,351",53.3%,"$135,956,000",46.7%
3850,11,Scary Movie,"$278,019,771",2000,"$157,019,771",56.5%,"$121,000,000",43.5%
3851,12,Charlie's Angels,"$264,105,545",2000,"$125,305,545",47.4%,"$138,800,000",52.6%
3852,13,Erin Brockovich,"$256,271,286",2000,"$125,595,205",49%,"$130,676,081",51%
3853,14,Unbreakable,"$248,118,121",2000,"$95,011,339",38.3%,"$153,106,782",61.7%
3854,15,Gone in 60 Seconds,"$237,202,299",2000,"$101,648,571",42.9%,"$135,553,728",57.1%
3855,16,Chicken Run,"$224,834,564",2000,"$106,834,564",47.5%,"$118,000,000",52.5%
3856,17,Vertical Limit,"$215,663,859",2000,"$69,243,859",32.1%,"$146,420,000",67.9%
3857,18,The Patriot,"$215,294,342",2000,"$113,330,342",52.6%,"$101,964,000",47.4%
3858,19,"Crouching Tiger, Hidden Dragon","$213,525,736",2000,"$128,078,872",60%,"$85,446,864",40%
3859,20,Miss Congeniality,"$212,742,720",2000,"$106,807,667",50.2%,"$105,935,053",49.8%
3860,21,Traffic,"$207,515,725",2000,"$124,115,725",59.8%,"$83,400,000",40.2%
3861,22,Hollow Man,"$190,213,455",2000,"$73,209,340",38.5%,"$117,004,115",61.5%
3862,23,102 Dalmatians,"$183,611,771",2000,"$66,957,026",36.5%,"$116,654,745",63.5%
3863,24,Big Momma's House,"$173,959,438",2000,"$117,559,438",67.6%,"$56,400,000",32.4%
3864,25,The Emperor's New Groove,"$169,327,687",2000,"$89,302,687",52.7%,"$80,025,000",47.3%
3865,26,Nutty Professor II: The Klumps,"$166,339,890",2000,"$123,309,890",74.1%,"$43,030,000",25.9%
3866,27,Scream 3,"$161,834,276",2000,"$89,143,175",55.1%,"$72,691,101",44.9%
3867,28,Chocolat,"$152,699,946",2000,"$71,509,363",46.8%,"$81,190,583",53.2%
3868,29,"Me, Myself & Irene","$149,270,999",2000,"$90,570,999",60.7%,"$58,700,000",39.3%
3869,30,The Beach,"$144,056,873",2000,"$39,785,027",27.6%,"$104,271,846",72.4%
3870,31,Remember the Titans,"$136,706,683",2000,"$115,654,751",84.6%,"$21,051,932",15.4%
3871,32,Pokémon the Movie 2000,"$133,949,270",2000,"$43,758,684",32.7%,"$90,190,586",67.3%
3872,33,Space Cowboys,"$128,884,132",2000,"$90,464,773",70.2%,"$38,419,359",29.8%
3873,34,U-571,"$127,666,415",2000,"$77,122,415",60.4%,"$50,544,000",39.6%
3874,35,The Family Man,"$124,745,083",2000,"$75,793,305",60.8%,"$48,951,778",39.2%
3875,36,Road Trip,"$119,754,278",2000,"$68,540,777",57.2%,"$51,213,501",42.8%
3876,37,Coyote Ugly,"$113,916,474",2000,"$60,786,269",53.4%,"$53,130,205",46.6%
3877,38,Final Destination,"$112,880,294",2000,"$53,331,147",47.2%,"$59,549,147",52.8%
3878,39,The Exorcist 2000 Director's Cut,"$112,053,066",2000,"$39,671,011",35.4%,"$72,382,055",64.6%
3879,40,Mission to Mars,"$110,983,407",2000,"$60,883,407",54.9%,"$50,100,000",45.1%
3880,41,The Kid,"$110,317,580",2000,"$69,691,949",63.2%,"$40,625,631",36.8%
3881,42,Billy Elliot,"$109,280,263",2000,"$21,995,263",20.1%,"$87,285,000",79.9%
3882,43,Shaft,"$107,196,498",2000,"$70,334,258",65.6%,"$36,862,240",34.4%
3883,44,The Whole Nine Yards,"$106,371,651",2000,"$57,262,492",53.8%,"$49,109,159",46.2%
3884,45,The Cell,"$104,155,843",2000,"$61,334,059",58.9%,"$42,821,784",41.1%
3885,46,Rugrats in Paris,"$103,291,131",2000,"$76,507,756",74.1%,"$26,783,375",25.9%
3886,47,Shanghai Noon,"$99,274,467",2000,"$56,937,502",57.4%,"$42,336,965",42.6%
3887,48,The Tigger Movie,"$96,159,800",2000,"$45,554,533",47.4%,"$50,605,267",52.6%
3888,49,The 6th Day,"$96,085,477",2000,"$34,604,280",36%,"$61,481,197",64%
3889,50,Romeo Must Die,"$91,036,760",2000,"$55,973,336",61.5%,"$35,063,424",38.5%
3890,51,Fantasia 2000,"$90,874,570",2000,"$60,655,420",66.7%,"$30,219,150",33.3%
3891,52,Autumn in New York,"$90,726,668",2000,"$37,761,915",41.6%,"$52,964,753",58.4%
3892,53,Bring It On,"$90,449,929",2000,"$68,379,000",75.6%,"$22,070,929",24.4%
3893,54,Bedazzled,"$90,383,208",2000,"$37,886,980",41.9%,"$52,496,228",58.1%
3894,55,Snatch,"$83,557,872",2000,"$30,328,156",36.3%,"$53,229,716",63.7%
3895,56,Men of Honor,"$82,343,495",2000,"$48,818,921",59.3%,"$33,524,574",40.7%
3896,57,Finding Forrester,"$80,049,764",2000,"$51,804,714",64.7%,"$28,245,050",35.3%
3897,58,The Road to El Dorado,"$76,432,727",2000,"$50,863,742",66.5%,"$25,568,985",33.5%
3898,59,"Dude, Where's My Car?","$73,180,723",2000,"$46,729,800",63.9%,"$26,450,923",36.1%
3899,60,"O Brother, Where Art Thou?","$71,868,327",2000,"$45,512,588",63.3%,"$26,355,739",36.7%
3900,61,Rules of Engagement,"$71,732,303",2000,"$61,335,230",85.5%,"$10,397,073",14.5%
3901,62,Frequency,"$68,106,245",2000,"$45,010,278",66.1%,"$23,095,967",33.9%
3902,63,Thirteen Days,"$66,579,890",2000,"$34,592,089",52%,"$31,987,801",48%
3903,64,Proof of Life,"$62,761,005",2000,"$32,598,931",51.9%,"$30,162,074",48.1%
3904,65,Snow Day,"$62,464,731",2000,"$60,020,107",96.1%,"$2,444,624",3.9%
3905,66,28 Days,"$62,198,945",2000,"$37,170,488",59.8%,"$25,028,457",40.2%
3906,67,Taxi 2,"$60,726,164",2000,"$626,164",1%,"$60,100,000",99%
3907,68,Keeping the Faith,"$59,945,183",2000,"$37,047,880",61.8%,"$22,897,303",38.2%
3908,69,Next Friday,"$59,827,328",2000,"$57,328,603",95.8%,"$2,498,725",4.2%
3909,70,The Flintstones in Viva Rock Vegas,"$59,468,275",2000,"$35,268,275",59.3%,"$24,200,000",40.7%
3910,71,Little Nicky,"$58,292,295",2000,"$39,464,775",67.7%,"$18,827,520",32.3%
3911,72,Pay It Forward,"$55,707,411",2000,"$33,519,628",60.2%,"$22,187,783",39.8%
3912,73,Bounce,"$53,425,292",2000,"$36,805,288",68.9%,"$16,620,004",31.1%
3913,74,Pitch Black,"$53,187,659",2000,"$39,240,659",73.8%,"$13,947,000",26.2%
3914,75,Hanging Up,"$51,880,044",2000,"$36,050,230",69.5%,"$15,829,814",30.5%
3915,76,The Skulls,"$50,802,120",2000,"$35,046,120",69%,"$15,756,000",31%
3916,77,The Replacements,"$50,054,511",2000,"$44,737,059",89.4%,"$5,317,452",10.6%
3917,78,Book of Shadows: Blair Witch 2,"$47,737,094",2000,"$26,437,094",55.4%,"$21,300,000",44.6%
3918,79,Almost Famous,"$47,383,689",2000,"$32,534,850",68.7%,"$14,848,839",31.3%
3919,80,The Watcher,"$47,267,829",2000,"$28,946,615",61.2%,"$18,321,214",38.8%
3920,81,High Fidelity,"$47,126,295",2000,"$27,287,137",57.9%,"$19,839,158",42.1%
3921,82,Dracula 2000,"$47,053,625",2000,"$33,022,767",70.2%,"$14,030,858",29.8%
3922,83,The Gift,"$44,567,606",2000,"$12,008,642",26.9%,"$32,558,964",73.1%
3923,84,Where the Heart Is,"$40,863,718",2000,"$33,772,838",82.6%,"$7,090,880",17.4%
3924,85,Bless the Child,"$40,443,010",2000,"$29,381,494",72.6%,"$11,061,516",27.4%
3925,86,The Art of War,"$40,400,425",2000,"$30,208,599",74.8%,"$10,191,826",25.2%
3926,87,Dancer in the Dark,"$40,031,879",2000,"$4,184,036",10.5%,"$35,847,843",89.5%
3927,88,The Legend of Bagger Vance,"$39,459,427",2000,"$30,919,168",78.4%,"$8,540,259",21.6%
3928,89,Urban Legends: Final Cut,"$38,574,362",2000,"$21,468,807",55.7%,"$17,105,555",44.3%
3929,90,The Original Kings of Comedy,"$38,182,790",2000,"$38,182,790",100%,-,-
3930,91,Titan A.E.,"$36,754,634",2000,"$22,753,426",61.9%,"$14,001,208",38.1%
3931,92,Return to Me,"$36,609,995",2000,"$32,722,798",89.4%,"$3,887,197",10.6%
3932,93,My Dog Skip,"$35,547,761",2000,"$34,134,641",96%,"$1,413,120",4%
3933,94,The Adventures of Rocky & Bullwinkle,"$35,134,820",2000,"$26,005,820",74%,"$9,129,000",26%
3934,95,American Psycho,"$34,266,564",2000,"$15,070,285",44%,"$19,196,279",56%
3935,96,Dungeons & Dragons,"$33,978,694",2000,"$15,391,970",45.3%,"$18,586,724",54.7%
3936,97,Red Planet,"$33,463,969",2000,"$17,480,890",52.2%,"$15,983,079",47.8%
3937,98,Wonder Boys,"$33,426,588",2000,"$19,393,557",58%,"$14,033,031",42%
3938,99,Reindeer Games,"$32,168,970",2000,"$23,368,995",72.6%,"$8,799,975",27.4%
3939,100,Lost Souls,"$31,355,910",2000,"$16,815,253",53.6%,"$14,540,657",46.4%
3940,101,Small Time Crooks,"$29,934,477",2000,"$17,266,359",57.7%,"$12,668,118",42.3%
3941,102,Battlefield Earth,"$29,725,663",2000,"$21,471,685",72.2%,"$8,253,978",27.8%
3942,103,Nurse Betty,"$29,360,400",2000,"$25,170,054",85.7%,"$4,190,346",14.3%
3943,104,Boiler Room,"$28,780,255",2000,"$16,970,581",59%,"$11,809,674",41%
3944,105,The Little Vampire,"$27,965,865",2000,"$13,572,400",48.5%,"$14,393,465",51.5%
3945,106,Love & Basketball,"$27,728,118",2000,"$27,459,615",99%,"$268,503",1%
3946,107,Cirque du Soleil: Journey of Man,"$27,538,359",2000,"$15,627,434",56.7%,"$11,910,925",43.3%
3947,108,Center Stage,"$26,385,941",2000,"$17,200,925",65.2%,"$9,185,016",34.8%
3948,109,Saving Grace,"$26,330,482",2000,"$12,178,602",46.3%,"$14,151,880",53.7%
3949,110,Boys and Girls,"$25,850,615",2000,"$21,799,652",84.3%,"$4,050,963",15.7%
3950,111,Down to You,"$24,419,914",2000,"$20,069,008",82.2%,"$4,350,906",17.8%
3951,112,The Next Best Thing,"$24,362,772",2000,"$14,990,582",61.5%,"$9,372,190",38.5%
3952,113,Dr. T & the Women,"$22,844,291",2000,"$13,113,041",57.4%,"$9,731,250",42.6%
3953,114,The Contender,"$22,361,811",2000,"$17,872,723",79.9%,"$4,489,088",20.1%
3954,115,Michael Jordan to the Max,"$21,268,532",2000,"$18,650,521",87.7%,"$2,618,011",12.3%
3955,116,Best in Show,"$20,789,556",2000,"$18,715,392",90%,"$2,074,164",10%
3956,117,Thomas and the Magic Railroad,"$19,748,009",2000,"$15,933,506",80.7%,"$3,814,503",19.3%
3957,118,Get Carter,"$19,412,993",2000,"$14,967,182",77.1%,"$4,445,811",22.9%
3958,119,The Ninth Gate,"$18,661,336",2000,"$18,661,336",100%,-,-
3959,120,Loser,"$18,404,706",2000,"$15,618,626",84.9%,"$2,786,080",15.1%
3960,121,All the Pretty Horses,"$18,133,495",2000,"$15,540,353",85.7%,"$2,593,142",14.3%
3961,122,Quills,"$17,989,227",2000,"$7,065,332",39.3%,"$10,923,895",60.7%
3962,123,CyberWorld,"$16,653,900",2000,"$11,253,900",67.6%,"$5,400,000",32.4%
3963,124,Digimon: The Movie,"$16,643,191",2000,"$9,631,153",57.9%,"$7,012,038",42.1%
3964,125,The Dish,"$16,575,074",2000,"$2,552,992",15.4%,"$14,022,082",84.6%
3965,126,Italian for Beginners,"$16,349,568",2000,"$4,544,753",27.8%,"$11,804,815",72.2%
3966,127,Drowning Mona,"$15,906,764",2000,"$15,506,764",97.5%,"$400,000",2.5%
3967,128,Highlander: Endgame,"$15,843,608",2000,"$12,811,858",80.9%,"$3,031,750",19.1%
3968,129,Bait,"$15,471,969",2000,"$15,325,127",99.1%,"$146,842",0.9%
3969,130,Supernova,"$14,828,081",2000,"$14,230,455",96%,"$597,626",4%
3970,131,Malena,"$14,493,284",2000,"$3,448,233",23.8%,"$11,045,051",76.2%
3971,132,I Dreamed of Africa,"$14,400,327",2000,"$6,651,522",46.2%,"$7,748,805",53.8%
3972,133,What Planet Are You From?,"$14,145,677",2000,"$6,291,602",44.5%,"$7,854,075",55.5%
3973,134,The Ladies Man,"$13,743,212",2000,"$13,616,610",99.1%,"$126,602",0.9%
3974,135,Solarmax,"$13,400,161",2000,"$13,400,161",100%,-,-
3975,136,The Crew,"$13,105,853",2000,"$13,023,075",99.4%,"$82,778",0.6%
3976,137,The Way of the Gun,"$13,069,740",2000,"$6,055,661",46.3%,"$7,014,079",53.7%
3977,138,In the Mood for Love,"$12,854,953",2000,"$2,738,980",21.3%,"$10,115,973",78.7%
3978,139,Gossip,"$12,591,270",2000,"$5,108,820",40.6%,"$7,482,450",59.4%
3979,140,Ready to Rumble,"$12,452,362",2000,"$12,394,327",99.5%,"$58,035",0.5%
3980,141,The Legend of Drunken Master,"$11,555,430",2000,"$11,555,430",100%,-,-
3981,142,You Can Count on Me,"$11,242,521",2000,"$9,416,804",83.8%,"$1,825,717",16.2%
3982,143,Shadow of the Vampire,"$11,155,214",2000,"$8,293,784",74.3%,"$2,861,430",25.7%
3983,144,Lucky Numbers,"$10,890,222",2000,"$10,042,516",92.2%,"$847,706",7.8%
3984,145,Here on Earth,"$10,873,148",2000,"$10,522,168",96.8%,"$350,980",3.2%
3985,146,Pollock,"$10,558,970",2000,"$8,598,593",81.4%,"$1,960,377",18.6%
3986,147,Anatomy,"$10,501,958",2000,"$9,660",<0.1%,"$10,492,298",99.9%
3987,148,The Virgin Suicides,"$10,409,377",2000,"$4,906,229",47.1%,"$5,503,148",52.9%
3988,149,Woman on Top,"$10,194,274",2000,"$5,020,111",49.2%,"$5,174,163",50.8%
3989,150,Godzilla 2000: Millennium,"$10,037,390",2000,"$10,037,390",100%,-,-
3990,151,Whatever It Takes,"$9,902,115",2000,"$8,745,680",88.3%,"$1,156,435",11.7%
3991,152,3 Strikes,"$9,832,166",2000,"$9,832,166",100%,-,-
3992,153,Bread and Tulips,"$9,719,848",2000,"$5,318,679",54.7%,"$4,401,169",45.3%
3993,154,Ghost Dog: The Way of the Samurai,"$9,380,473",2000,"$3,308,029",35.3%,"$6,072,444",64.7%
3994,155,State and Main,"$9,206,279",2000,"$6,944,471",75.4%,"$2,261,808",24.6%
3995,156,Before Night Falls,"$8,527,517",2000,"$4,242,892",49.8%,"$4,284,625",50.2%
3996,157,Butterfly,"$7,733,894",2000,"$2,092,682",27.1%,"$5,641,212",72.9%
3997,158,Ants in the Pants,"$7,625,967",2000,-,-,"$7,625,967",100%
3998,159,Requiem for a Dream,"$7,390,108",2000,"$3,635,482",49.2%,"$3,754,626",50.8%
3999,160,Where the Money Is,"$7,243,669",2000,"$5,661,798",78.2%,"$1,581,871",21.8%
4000,161,Screwed,"$7,201,701",2000,"$7,027,345",97.6%,"$174,356",2.4%
4001,162,Widow of St. Pierre,"$7,193,889",2000,"$3,193,889",44.4%,"$4,000,000",55.6%
4002,163,Croupier,"$7,075,068",2000,"$6,201,143",87.6%,"$873,925",12.4%
4003,164,Duets,"$6,620,242",2000,"$4,739,023",71.6%,"$1,881,219",28.4%
4004,165,Now or Never,"$5,995,963",2000,-,-,"$5,995,963",100%
4005,166,Black & White,"$5,541,431",2000,"$5,277,299",95.2%,"$264,132",4.8%
4006,167,The in Crowd,"$5,280,035",2000,"$5,280,035",100%,-,-
4007,168,The House of Mirth,"$5,164,404",2000,"$3,043,284",58.9%,"$2,121,120",41.1%
4008,169,Otto - Der Katastrofenfilm,"$5,058,355",2000,-,-,"$5,058,355",100%
4009,170,Whipped,"$4,775,009",2000,"$4,159,986",87.1%,"$615,023",12.9%
4010,171,Held Up,"$4,705,631",2000,"$4,705,631",100%,-,-
4011,172,The Jungle Book 2000 Re-release,"$4,466,472",2000,-,-,"$4,466,472",100%
4012,173,The Tao of Steve,"$4,406,030",2000,"$4,342,203",98.6%,"$63,827",1.4%
4013,174,Mohabbatein,"$4,279,351",2000,"$1,070,000",25%,"$3,209,351",75%
4014,175,East Is East,"$4,177,818",2000,"$4,177,818",100%,-,-
4015,176,Bossa Nova,"$4,069,261",2000,"$1,823,297",44.8%,"$2,245,964",55.2%
4016,177,Erkan & Stefan,"$4,026,949",2000,-,-,"$4,026,949",100%
4017,178,Pettson & Findus - Katten och gubbens år,"$3,920,489",2000,-,-,"$3,920,489",100%
4018,179,Up at the Villa,"$3,740,113",2000,"$2,933,161",78.4%,"$806,952",21.6%
4019,180,The Big Kahuna,"$3,728,888",2000,"$3,165,544",84.9%,"$563,344",15.1%
4020,181,Price of Glory,"$3,548,556",2000,"$3,440,228",96.9%,"$108,328",3.1%
4021,182,Gun Shy,"$3,221,280",2000,"$1,638,202",50.9%,"$1,583,078",49.1%
4022,183,Beautiful,"$3,169,930",2000,"$3,157,348",99.6%,"$12,582",0.4%
4023,184,Isn't She Great,"$3,003,296",2000,"$2,962,465",98.6%,"$40,831",1.4%
4024,185,No More School,"$2,870,533",2000,-,-,"$2,870,533",100%
4025,186,Flickering Lights,"$2,760,019",2000,-,-,"$2,760,019",100%
4026,187,The Color of Paradise,"$2,724,595",2000,"$1,817,216",66.7%,"$907,379",33.3%
4027,188,God's Army,"$2,637,726",2000,"$2,637,726",100%,-,-
4028,189,But I'm a Cheerleader,"$2,595,216",2000,"$2,205,627",85%,"$389,589",15%
4029,190,Bamboozled,"$2,463,650",2000,"$2,274,979",92.3%,"$188,671",7.7%
4030,191,East/West,"$2,321,029",2000,"$2,321,029",100%,-,-
4031,192,Shower,"$2,150,929",2000,"$1,157,764",53.8%,"$993,165",46.2%
4032,193,Left Luggage,"$2,111,280",2000,"$1,069,540",50.7%,"$1,041,740",49.3%
4033,194,Blood Simple 2000 Re-release,"$2,068,701",2000,"$1,701,855",82.3%,"$366,846",17.7%
4034,195,Marlene,"$2,061,924",2000,-,-,"$2,061,924",100%
4035,196,Hamlet,"$2,046,433",2000,"$1,577,287",77.1%,"$469,146",22.9%
4036,197,The Broken Hearts Club: A Romantic Comedy,"$2,019,121",2000,"$1,746,585",86.5%,"$272,536",13.5%
4037,198,Cecil B. Demented,"$1,961,544",2000,"$1,284,646",65.5%,"$676,898",34.5%
4038,199,The Life and Times of Hank Greenberg,"$1,712,385",2000,"$1,712,385",100%,-,-
4039,200,The Girl on the Bridge,"$1,708,839",2000,"$1,708,839",100%,-,-
4040,1,Harry Potter and the Sorcerer's Stone,"$974,755,371",2001,"$317,575,550",32.6%,"$657,179,821",67.4%
4041,2,The Lord of the Rings: The Fellowship of the Ring,"$880,839,846",2001,"$313,364,114",35.6%,"$567,475,732",64.4%
4042,3,"Monsters, Inc.","$528,773,250",2001,"$255,873,250",48.4%,"$272,900,000",51.6%
4043,4,Shrek,"$484,409,218",2001,"$267,665,011",55.3%,"$216,744,207",44.7%
4044,5,Ocean's Eleven,"$450,717,150",2001,"$183,417,150",40.7%,"$267,300,000",59.3%
4045,6,Pearl Harbor,"$449,220,945",2001,"$198,542,554",44.2%,"$250,678,391",55.8%
4046,7,The Mummy Returns,"$433,013,274",2001,"$202,019,785",46.7%,"$230,993,489",53.3%
4047,8,Jurassic Park III,"$368,780,809",2001,"$181,171,875",49.1%,"$187,608,934",50.9%
4048,9,Planet of the Apes,"$362,211,740",2001,"$180,011,740",49.7%,"$182,200,000",50.3%
4049,10,Hannibal,"$351,692,268",2001,"$165,092,268",46.9%,"$186,600,000",53.1%
4050,11,Rush Hour 2,"$347,325,802",2001,"$226,164,286",65.1%,"$121,161,516",34.9%
4051,12,A Beautiful Mind,"$313,542,341",2001,"$170,742,341",54.5%,"$142,800,000",45.5%
4052,13,American Pie 2,"$287,553,595",2001,"$145,103,595",50.5%,"$142,450,000",49.5%
4053,14,Bridget Jones's Diary,"$281,929,795",2001,"$71,543,427",25.4%,"$210,386,368",74.6%
4054,15,Spirited Away,"$274,925,095",2001,"$10,055,859",3.7%,"$264,869,236",96.3%
4055,16,Lara Croft: Tomb Raider,"$274,703,340",2001,"$131,168,070",47.7%,"$143,535,270",52.3%
4056,17,A.I. Artificial Intelligence,"$235,926,552",2001,"$78,616,689",33.3%,"$157,309,863",66.7%
4057,18,The Others,"$209,947,037",2001,"$96,522,687",46%,"$113,424,350",54%
4058,19,The Fast and the Furious,"$207,283,925",2001,"$144,533,925",69.7%,"$62,750,000",30.3%
4059,20,Vanilla Sky,"$203,388,341",2001,"$100,618,344",49.5%,"$102,769,997",50.5%
4060,21,Cats & Dogs,"$200,687,492",2001,"$93,385,515",46.5%,"$107,301,977",53.5%
4061,22,Atlantis: The Lost Empire,"$186,053,725",2001,"$84,056,472",45.2%,"$101,997,253",54.8%
4062,23,Moulin Rouge!,"$179,213,434",2001,"$57,386,607",32%,"$121,826,827",68%
4063,24,Dr. Dolittle 2,"$176,104,344",2001,"$112,952,899",64.1%,"$63,151,445",35.9%
4064,25,Amélie,"$173,921,954",2001,"$33,225,499",19.1%,"$140,696,455",80.9%
4065,26,Black Hawk Down,"$172,989,651",2001,"$108,638,745",62.8%,"$64,350,906",37.2%
4066,27,The Princess Diaries,"$165,335,153",2001,"$108,248,956",65.5%,"$57,086,197",34.5%
4067,28,Spy Kids,"$147,934,180",2001,"$112,719,001",76.2%,"$35,215,179",23.8%
4068,29,The Mexican,"$147,845,033",2001,"$66,845,033",45.2%,"$81,000,000",54.8%
4069,30,Swordfish,"$147,080,413",2001,"$69,772,969",47.4%,"$77,307,444",52.6%
4070,31,Spy Game,"$143,049,560",2001,"$62,362,560",43.6%,"$80,687,000",56.4%
4071,32,Legally Blonde,"$141,774,679",2001,"$96,520,674",68.1%,"$45,254,005",31.9%
4072,33,Scary Movie 2,"$141,220,678",2001,"$71,308,997",50.5%,"$69,911,681",49.5%
4073,34,Shallow Hal,"$141,069,860",2001,"$70,839,203",50.2%,"$70,230,657",49.8%
4074,35,America's Sweethearts,"$138,307,673",2001,"$93,607,673",67.7%,"$44,700,000",32.3%
4075,36,Save the Last Dance,"$131,706,809",2001,"$91,057,006",69.1%,"$40,649,803",30.9%
4076,37,A Knight's Tale,"$117,487,473",2001,"$56,569,702",48.1%,"$60,917,771",51.9%
4077,38,The Score,"$114,252,154",2001,"$71,107,711",62.2%,"$43,144,443",37.8%
4078,39,Along Came a Spider,"$105,178,561",2001,"$74,078,174",70.4%,"$31,100,387",29.6%
4079,40,Training Day,"$104,876,233",2001,"$76,631,907",73.1%,"$28,244,326",26.9%
4080,41,Jimmy Neutron: Boy Genius,"$102,992,536",2001,"$80,936,232",78.6%,"$22,056,304",21.4%
4081,42,Don't Say a Word,"$100,020,092",2001,"$55,001,642",55%,"$45,018,450",45%
4082,43,Evolution,"$98,376,292",2001,"$38,345,494",39%,"$60,030,798",61%
4083,44,I Am Sam,"$97,818,139",2001,"$40,311,852",41.2%,"$57,506,287",58.8%
4084,45,Enemy at the Gates,"$96,976,270",2001,"$51,401,758",53%,"$45,574,512",47%
4085,46,The Wedding Planner,"$94,728,529",2001,"$60,400,856",63.8%,"$34,327,673",36.2%
4086,47,Behind Enemy Lines,"$91,753,202",2001,"$58,856,790",64.1%,"$32,896,412",35.9%
4087,48,Gosford Park,"$87,754,044",2001,"$41,308,615",47.1%,"$46,445,429",52.9%
4088,49,Ali,"$87,713,825",2001,"$58,203,105",66.4%,"$29,510,720",33.6%
4089,50,Rat Race,"$85,498,534",2001,"$56,618,055",66.2%,"$28,880,479",33.8%
4090,51,Final Fantasy: The Spirits Within,"$85,131,830",2001,"$32,131,830",37.7%,"$53,000,000",62.3%
