,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
3439,1975,1976,48,WRITING (Screenplay Adapted from Other Material),"John Huston, Gladys Hill",The Man Who Would Be King,False,0
3441,1976,1977,49,ACTOR IN A LEADING ROLE,Robert De Niro,Taxi Driver,False,0
3442,1976,1977,49,ACTOR IN A LEADING ROLE,Peter Finch,Network,True,4
3444,1976,1977,49,ACTOR IN A LEADING ROLE,Sylvester Stallone,Rocky,False,3
3446,1976,1977,49,ACTOR IN A SUPPORTING ROLE,Jason Robards,All the President's Men,True,4
3450,1976,1977,49,ACTRESS IN A SUPPORTING ROLE,Jodie Foster,Taxi Driver,False,0
3458,1976,1977,49,CINEMATOGRAPHY,Richard H. Kline,King Kong,False,1
3485,1976,1977,49,MUSIC (Original Score),Bernard Herrmann,Taxi Driver,False,0
3490,1976,1977,49,BEST PICTURE,"Michael Phillips and Julia Phillips, Producers",Taxi Driver,False,0
3505,1977,1978,50,ACTOR IN A LEADING ROLE,Woody Allen,Annie Hall,False,4
3517,1977,1978,50,ACTRESS IN A SUPPORTING ROLE,Melinda Dillon,Close Encounters of the Third Kind,False,2
3576,1978,1979,51,ACTOR IN A LEADING ROLE,Robert De Niro,The Deer Hunter,False,5
3581,1978,1979,51,ACTRESS IN A LEADING ROLE,Ingrid Bergman,Autumn Sonata,False,0
3634,1978,1979,51,WRITING (Screenplay Written Directly for the Screen),Ingmar Bergman,Autumn Sonata,False,0
3641,1979,1980,52,ACTOR IN A LEADING ROLE,Peter Sellers,Being There,False,1
3642,1979,1980,52,ACTOR IN A SUPPORTING ROLE,Robert Duvall,Apocalypse Now,False,2
3652,1979,1980,52,ACTRESS IN A SUPPORTING ROLE,Mariel Hemingway,Manhattan,False,0
3653,1979,1980,52,ART DIRECTION,"Art Direction:  Michael Seymour, Les Dilley, Roger Christian;  Set Decoration:  Ian Whittaker",Alien,False,1
3708,1979,1980,52,WRITING (Screenplay Written Directly for the Screen),"Woody Allen, Marshall Brickman",Manhattan,False,0
3709,1980,1981,53,ACTOR IN A LEADING ROLE,Robert De Niro,Raging Bull,True,2
3711,1980,1981,53,ACTOR IN A LEADING ROLE,John Hurt,The Elephant Man,False,0
3724,1980,1981,53,ART DIRECTION,"Art Direction:  Stuart Craig, Bob Cartwright;  Set Decoration:  Hugh Scaife",The Elephant Man,False,0
3730,1980,1981,53,COSTUME DESIGN,Patricia Norris,The Elephant Man,False,0
3732,1980,1981,53,COSTUME DESIGN,Jean-Pierre Dorleac,Somewhere in Time,False,0
3734,1980,1981,53,DIRECTING,David Lynch,The Elephant Man,False,0
3747,1980,1981,53,FILM EDITING,Anne V. Coates,The Elephant Man,False,0
3755,1980,1981,53,MUSIC (Original Score),John Morris,The Elephant Man,False,0
3759,1980,1981,53,BEST PICTURE,"Jonathan Sanger, Producer",The Elephant Man,False,0
3768,1980,1981,53,WRITING (Screenplay Based on Material from Another Medium),"Christopher DeVore, Eric Bergren, David Lynch",The Elephant Man,False,0
3838,1982,1983,55,ACTOR IN A LEADING ROLE,Ben Kingsley,Gandhi,True,8
3852,1982,1983,55,ART DIRECTION,"Art Direction:  Lawrence G. Paull, David L. Snyder;  Set Decoration:  Linda DeScenna",Blade Runner,False,0
3854,1982,1983,55,CINEMATOGRAPHY,Jost Vacano,Das Boot,False,0
3858,1982,1983,55,DIRECTING,Wolfgang Petersen,Das Boot,False,0
3870,1982,1983,55,FILM EDITING,Hannes Nikel,Das Boot,False,0
3892,1982,1983,55,SOUND,"Milan Bor, Trevor Pyke, Mike Le-Mare",Das Boot,False,0
3894,1982,1983,55,SOUND EFFECTS EDITING,Mike Le-Mare,Das Boot,False,0
3896,1982,1983,55,VISUAL EFFECTS,"Douglas Trumbull, Richard Yuricich, David Dryer",Blade Runner,False,0
3898,1982,1983,55,WRITING (Screenplay Based on Material from Another Medium),Wolfgang Petersen,Das Boot,False,0
3906,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Charles Durning,To Be or Not to Be,False,0
3908,1983,1984,56,ACTOR IN A SUPPORTING ROLE,Sam Shepard,The Right Stuff,False,4
3966,1984,1985,57,ACTOR IN A LEADING ROLE,F. Murray Abraham,Amadeus,True,8
3969,1984,1985,57,ACTOR IN A LEADING ROLE,Sam Waterston,The Killing Fields,False,3
4019,1984,1985,57,SHORT FILM (Animated),"Jon Minnis, Producer",Charade,True,1
4024,1984,1985,57,SHORT FILM (Live Action),"Mike Hoover, Producer",Up,True,1
4025,1984,1985,57,SOUND,"Bill Varney, Steve Maslow, Kevin O'Connell, Nelson Stoll",Dune,False,0
4035,1985,1986,58,ACTOR IN A LEADING ROLE,Harrison Ford,Witness,False,2
4052,1985,1986,58,ART DIRECTION,Art Direction:  Norman Garwood;  Set Decoration:  Maggie Gray,Brazil,False,0
4054,1985,1986,58,ART DIRECTION,"Art Direction:  Yoshiro Muraki, Shinobu Muraki",Ran,False,1
4083,1985,1986,58,MUSIC (Original Song),Music by Chris Hayes and Johnny Colla; Lyric by Huey Lewis,Back to the Future,False,1
4101,1985,1986,58,WRITING (Screenplay Written Directly for the Screen),"Terry Gilliam, Tom Stoppard, Charles McKeown",Brazil,False,0
