,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
42,1928,1929,2,ART DIRECTION,Harry Oliver,Street Angel,False,0
43,1928,1929,2,CINEMATOGRAPHY,George Barnes,Our Dancing Daughters,False,0
44,1928,1929,2,CINEMATOGRAPHY,Clyde De Vinna,White Shadows in the South Seas,True,1
46,1928,1929,2,CINEMATOGRAPHY,Ernest Palmer,Four Devils;,False,0
52,1928,1929,2,DIRECTING,Frank Lloyd,Drag;,False,0
57,1928,1929,2,OUTSTANDING PICTURE,Metro-Goldwyn-Mayer,Hollywood Revue,False,0
59,1928,1929,2,WRITING,Tom Barry,In Old Arizona;,False,0
60,1928,1929,2,WRITING,Elliott Clawson,The Cop;,False,0
61,1928,1929,2,WRITING,Hans Kraly,The Last of Mrs. Cheyney,False,0
64,1928,1929,2,WRITING,Bess Meredyth,A Woman of Affairs;,False,0
65,1929,1930,3,ACTOR,George Arliss,Disraeli,True,1
66,1929,1930,3,ACTOR,George Arliss,The Green Goddess,False,0
67,1929,1930,3,ACTOR,Wallace Beery,The Big House,False,1
68,1929,1930,3,ACTOR,Maurice Chevalier,The Big Pond,False,0
69,1929,1930,3,ACTOR,Ronald Colman,Bulldog Drummond,False,0
70,1929,1930,3,ACTOR,Lawrence Tibbett,The Rogue Song,False,0
71,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False,0
72,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False,0
73,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False,0
74,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True,1
75,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False,0
76,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False,0
78,1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,True,1
79,1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,False,0
80,1929,1930,3,ART DIRECTION,(Jack Okey),Sally,False,0
81,1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,False,0
82,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,False,2
84,1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,False,0
86,1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,True,1
87,1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,False,0
91,1929,1930,3,DIRECTING,King Vidor,Hallelujah,False,0
101,1929,1930,3,WRITING,(Howard Estabrook),Street of Chance,False,0
102,1930,1931,4,ACTOR,Lionel Barrymore,A Free Soul,True,1
103,1930,1931,4,ACTOR,Jackie Cooper,Skippy,False,1
104,1930,1931,4,ACTOR,Richard Dix,Cimarron,False,3
105,1930,1931,4,ACTOR,Fredric March,The Royal Family of Broadway,False,0
106,1930,1931,4,ACTOR,Adolphe Menjou,The Front Page,False,0
107,1930,1931,4,ACTRESS,Marlene Dietrich,Morocco,False,0
108,1930,1931,4,ACTRESS,Marie Dressler,Min and Bill,True,1
110,1930,1931,4,ACTRESS,Ann Harding,Holiday,False,0
113,1930,1931,4,ART DIRECTION,"Stephen Goosson, Ralph Hammeras",Just Imagine,False,0
115,1930,1931,4,ART DIRECTION,Anton Grot,Svengali,False,0
116,1930,1931,4,ART DIRECTION,Richard Day,Whoopee!,False,0
119,1930,1931,4,CINEMATOGRAPHY,Charles Lang,The Right to Love,False,0
121,1930,1931,4,CINEMATOGRAPHY,Floyd Crosby,Tabu,True,1
128,1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,False,0
131,1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,False,0
133,1930,1931,4,WRITING (Adaptation),"Seton I. Miller, Fred Niblo, Jr.",The Criminal Code,False,0
135,1930,1931,4,WRITING (Adaptation),"Francis Faragoh, Robert N. Lee",Little Caesar,False,0
137,1930,1931,4,WRITING (Original Story),John Monk Saunders,The Dawn Patrol,True,1
138,1930,1931,4,WRITING (Original Story),Rowland Brown,The Doorway to Hell,False,0
139,1930,1931,4,WRITING (Original Story),"Harry d'Abbadie d'Arrast, Douglas Doty, Donald Ogden Stewart",Laughter,False,0
140,1930,1931,4,WRITING (Original Story),"John Bright, Kubec Glasmon",The Public Enemy,False,0
141,1930,1931,4,WRITING (Original Story),"Lucien Hubbard, Joseph Jackson",Smart Money,False,0
142,1931,1932,5,ACTOR,Wallace Beery,The Champ,True,2
143,1931,1932,5,ACTOR,Alfred Lunt,The Guardsman,False,0
144,1931,1932,5,ACTOR,Fredric March,Dr. Jekyll and Mr. Hyde,True,1
145,1931,1932,5,ACTRESS,Marie Dressler,Emma,False,0
147,1931,1932,5,ACTRESS,Helen Hayes,The Sin of Madelon Claudet,True,1
148,1931,1932,5,ART DIRECTION,Lazare Meerson,À Nous la Liberté,False,0
149,1931,1932,5,ART DIRECTION,Richard Day,Arrowsmith,False,0
150,1931,1932,5,ART DIRECTION,Gordon Wiles,Transatlantic,True,1
153,1931,1932,5,CINEMATOGRAPHY,Lee Garmes,Shanghai Express,True,1
154,1931,1932,5,DIRECTING,Frank Borzage,Bad Girl,True,2
160,1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,False,0
161,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,True,1
162,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,False,0
164,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,False,0
165,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Flowers and Trees,True,1
166,1931,1932,5,SHORT SUBJECT (Cartoon),"Leon Schlesinger, Producer",It's Got Me Again,False,0
167,1931,1932,5,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Mickey's Orphans,False,0
168,1931,1932,5,SHORT SUBJECT (Comedy),"Mack Sennett, Producer",The Loud Mouth,False,0
169,1931,1932,5,SHORT SUBJECT (Comedy),"Hal Roach, Producer",The Music Box,True,1
170,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Scratch-As-Catch-Can,False,0
171,1931,1932,5,SHORT SUBJECT (Comedy),RKO Radio,Stout Hearts and Willing Hands,False,0
172,1931,1932,5,SHORT SUBJECT (Novelty),Paramount Publix,Screen Souvenirs,False,0
173,1931,1932,5,SHORT SUBJECT (Novelty),Metro-Goldwyn-Mayer,Swing High,False,0
174,1931,1932,5,SHORT SUBJECT (Novelty),"Mack Sennett, Producer",Wrestling Swordfish,True,1
179,1931,1932,5,WRITING (Original Story),"Grover Jones, William Slavens McNutt",Lady and Gent,False,0
180,1931,1932,5,WRITING (Original Story),Lucien Hubbard,The Star Witness,False,0
181,1931,1932,5,WRITING (Original Story),"Adela Rogers St. Johns, Jane Murfin",What Price Hollywood?,False,0
182,1932,1933,6,ACTOR,Leslie Howard,Berkeley Square,False,0
183,1932,1933,6,ACTOR,Charles Laughton,The Private Life of Henry VIII,True,1
184,1932,1933,6,ACTOR,Paul Muni,I Am a Fugitive from a Chain Gang,False,0
185,1932,1933,6,ACTRESS,Katharine Hepburn,Morning Glory,True,1
186,1932,1933,6,ACTRESS,May Robson,Lady for a Day,False,0
187,1932,1933,6,ACTRESS,Diana Wynyard,Cavalcade,False,3
189,1932,1933,6,ART DIRECTION,"Hans Dreier, Roland Anderson",A Farewell to Arms,False,1
190,1932,1933,6,ART DIRECTION,Cedric Gibbons,When Ladies Meet,False,0
192,1932,1933,6,CINEMATOGRAPHY,George J. Folsey,Reunion in Vienna,False,0
193,1932,1933,6,CINEMATOGRAPHY,Karl Struss,The Sign of the Cross,False,0
196,1932,1933,6,DIRECTING,George Cukor,Little Women,False,1
199,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,False,0
204,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,False,0
205,1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,False,0
206,1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,False,0
207,1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Building a Building,False,0
208,1932,1933,6,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",The Merry Old Soul,False,0
209,1932,1933,6,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Three Little Pigs,True,1
210,1932,1933,6,SHORT SUBJECT (Comedy),"Warren Doane, Producer",Mister Mugg,False,0
211,1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",A Preferred List,False,0
212,1932,1933,6,SHORT SUBJECT (Comedy),"Louis Brock, Producer",So This Is Harris,True,1
213,1932,1933,6,SHORT SUBJECT (Novelty),"Joe Rock, Producer",Krakatoa,True,1
214,1932,1933,6,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Menu,False,0
215,1932,1933,6,SHORT SUBJECT (Novelty),Educational,The Sea,False,0
219,1932,1933,6,WRITING (Original Story),Robert Lord,One Way Passage,True,1
220,1932,1933,6,WRITING (Original Story),Frances Marion,The Prizefighter and the Lady,False,0
221,1932,1933,6,WRITING (Original Story),Charles MacArthur,Rasputin and the Empress,False,0
222,1934,1935,7,ACTOR,Clark Gable,It Happened One Night,True,5
223,1934,1935,7,ACTOR,Frank Morgan,The Affairs of Cellini,False,0
224,1934,1935,7,ACTOR,William Powell,The Thin Man,False,0
226,1934,1935,7,ACTRESS,Bette Davis,Of Human Bondage,False,0
227,1934,1935,7,ACTRESS,Grace Moore,One Night of Love,False,1
228,1934,1935,7,ACTRESS,Norma Shearer,The Barretts of Wimpole Street,False,0
230,1934,1935,7,ART DIRECTION,"Van Nest Polglase, Carroll Clark",The Gay Divorcee,False,1
231,1934,1935,7,ART DIRECTION,"Cedric Gibbons, Fredric Hope",The Merry Widow,True,1
233,1934,1935,7,CINEMATOGRAPHY,Victor Milner,Cleopatra,True,1
234,1934,1935,7,CINEMATOGRAPHY,George Folsey,Operator 13,False,0
239,1934,1935,7,FILM EDITING,Conrad Nervig,Eskimo,True,1
242,1934,1935,7,MUSIC (Scoring),"RKO Radio Studio Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Lost Patrol,False,0
244,1934,1935,7,MUSIC (Song),Music by Vincent Youmans; Lyrics by Edward Eliscu and Gus Kahn,Flying Down to Rio,False,0
246,1934,1935,7,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,She Loves Me Not,False,0
249,1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,False,0
251,1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,False,0
252,1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,False,0
253,1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,False,0
257,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,False,0
258,1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,False,0
259,1934,1935,7,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",Holiday Land,False,0
260,1934,1935,7,SHORT SUBJECT (Cartoon),"Walter Lantz, Producer",Jolly Little Elves,False,0
261,1934,1935,7,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Tortoise and the Hare,True,1
262,1934,1935,7,SHORT SUBJECT (Comedy),"Kenneth Macgowan, Producer",La Cucaracha,True,1
263,1934,1935,7,SHORT SUBJECT (Comedy),"Jules White, Producer",Men in Black,False,0
264,1934,1935,7,SHORT SUBJECT (Comedy),Warner Bros.,"What, No Men!",False,0
265,1934,1935,7,SHORT SUBJECT (Novelty),Skibo Productions,Bosom Friends,False,0
266,1934,1935,7,SHORT SUBJECT (Novelty),"Stacy Woodard and Horace Woodard, Producers",City of Wax,True,1
267,1934,1935,7,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Strikes and Spares,False,0
271,1934,1935,7,WRITING (Original Story),Mauri Grashin,Hide-Out,False,0
272,1934,1935,7,WRITING (Original Story),Arthur Caesar,Manhattan Melodrama,True,1
273,1934,1935,7,WRITING (Original Story),Norman Krasna,The Richest Girl in the World,False,0
274,1935,1936,8,ACTOR,Clark Gable,Mutiny on the Bounty,False,1
276,1935,1936,8,ACTOR,Victor McLaglen,The Informer,True,4
277,1935,1936,8,ACTOR,Paul Muni,Black Fury,False,0
279,1935,1936,8,ACTRESS,Elisabeth Bergner,Escape Me Never,False,0
280,1935,1936,8,ACTRESS,Claudette Colbert,Private Worlds,False,0
281,1935,1936,8,ACTRESS,Bette Davis,Dangerous,True,1
282,1935,1936,8,ACTRESS,Katharine Hepburn,Alice Adams,False,0
283,1935,1936,8,ACTRESS,Miriam Hopkins,Becky Sharp,False,0
284,1935,1936,8,ACTRESS,Merle Oberon,The Dark Angel,False,1
286,1935,1936,8,ART DIRECTION,"Hans Dreier, Roland Anderson",The Lives of a Bengal Lancer,False,0
287,1935,1936,8,ART DIRECTION,"Van Nest Polglase, Carroll Clark",Top Hat,False,0
288,1935,1936,8,CINEMATOGRAPHY,Ray June,Barbary Coast,False,0
289,1935,1936,8,CINEMATOGRAPHY,Victor Milner,The Crusades,False,0
290,1935,1936,8,CINEMATOGRAPHY,Gregg Toland,Les Miserables,False,0
291,1935,1936,8,CINEMATOGRAPHY,Hal Mohr,A Midsummer Night's Dream,True,2
292,1935,1936,8,DANCE DIRECTION,Busby Berkeley,Gold Diggers of 1935,False,1
293,1935,1936,8,DANCE DIRECTION,Bobby Connolly,Go into Your Dance;,False,0
294,1935,1936,8,DANCE DIRECTION,Dave Gould,Broadway Melody of 1936;,True,1
295,1935,1936,8,DANCE DIRECTION,Sammy Lee,King of Burlesque,False,0
297,1935,1936,8,DANCE DIRECTION,LeRoy Prinz,Big Broadcast of 1936;,False,0
298,1935,1936,8,DANCE DIRECTION,Benjamin Zemach,She,False,0
299,1935,1936,8,DIRECTING,Michael Curtiz,Captain Blood,False,0
303,1935,1936,8,FILM EDITING,Robert J. Kern,David Copperfield,False,0
312,1935,1936,8,MUSIC (Scoring),"Paramount Studio Music Department, Irvin Talbot, head of department  (Score by Ernst Toch)",Peter Ibbetson,False,0
314,1935,1936,8,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields and Jimmy McHugh,Roberta,False,0
317,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Broadway Melody of 1936,False,0
325,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Naughty Marietta,False,0
326,1935,1936,8,OUTSTANDING PRODUCTION,Paramount,Ruggles of Red Gap,False,0
328,1935,1936,8,SHORT SUBJECT (Cartoon),Harman-Ising,The Calico Dragon,False,0
329,1935,1936,8,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Three Orphan Kittens,True,1
330,1935,1936,8,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Who Killed Cock Robin?,False,0
331,1935,1936,8,SHORT SUBJECT (Comedy),"Jack Chertok, Producer",How to Sleep,True,1
332,1935,1936,8,SHORT SUBJECT (Comedy),"Jules White, Producer","Oh, My Nerves",False,0
333,1935,1936,8,SHORT SUBJECT (Comedy),"Hal Roach, Producer",Tit for Tat,False,0
334,1935,1936,8,SHORT SUBJECT (Novelty),"Pete Smith, Producer",Audioscopiks,False,0
335,1935,1936,8,SHORT SUBJECT (Novelty),Universal,Camera Thrills,False,0
336,1935,1936,8,SHORT SUBJECT (Novelty),Gaumont British and Skibo Productions,Wings over Mt. Everest,True,1
338,1935,1936,8,WRITING (Original Story),Gregory Rogers,G-Men,False,0
339,1935,1936,8,WRITING (Original Story),"Don Hartman, Stephen Avery",The Gay Deception,False,0
340,1935,1936,8,WRITING (Original Story),"Ben Hecht, Charles MacArthur",The Scoundrel,True,1
345,1936,1937,9,ACTOR,Gary Cooper,Mr. Deeds Goes to Town,False,1
346,1936,1937,9,ACTOR,Walter Huston,Dodsworth,False,1
347,1936,1937,9,ACTOR,Paul Muni,The Story of Louis Pasteur,True,3
348,1936,1937,9,ACTOR,William Powell,My Man Godfrey,False,0
349,1936,1937,9,ACTOR,Spencer Tracy,San Francisco,False,0
351,1936,1937,9,ACTOR IN A SUPPORTING ROLE,Walter Brennan,Come and Get It,True,1
352,1936,1937,9,ACTOR IN A SUPPORTING ROLE,Stuart Erwin,Pigskin Parade,False,0
353,1936,1937,9,ACTOR IN A SUPPORTING ROLE,Basil Rathbone,Romeo and Juliet,False,0
354,1936,1937,9,ACTOR IN A SUPPORTING ROLE,Akim Tamiroff,The General Died at Dawn,False,0
355,1936,1937,9,ACTRESS,Irene Dunne,Theodora Goes Wild,False,0
356,1936,1937,9,ACTRESS,Gladys George,Valiant Is the Word for Carrie,False,0
358,1936,1937,9,ACTRESS,Luise Rainer,The Great Ziegfeld,True,3
360,1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Beulah Bondi,The Gorgeous Hussy,False,0
362,1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Bonita Granville,These Three,False,0
364,1936,1937,9,ACTRESS IN A SUPPORTING ROLE,Gale Sondergaard,Anthony Adverse,True,4
368,1936,1937,9,ART DIRECTION,William S. Darling,Lloyds of London,False,0
369,1936,1937,9,ART DIRECTION,"Albert S. D'Agostino, Jack Otterson",The Magnificent Brute,False,0
371,1936,1937,9,ART DIRECTION,Perry Ferguson,Winterset,False,0
375,1936,1937,9,DANCE DIRECTION,Busby Berkeley,Gold Diggers of 1937,False,0
376,1936,1937,9,DANCE DIRECTION,Bobby Connolly,Cain and Mabel,False,0
378,1936,1937,9,DANCE DIRECTION,Dave Gould,Born to Dance,False,0
379,1936,1937,9,DANCE DIRECTION,Jack Haskell,One in a Million,False,0
380,1936,1937,9,DANCE DIRECTION,Russell Lewis,Dancing Pirate,False,0
381,1936,1937,9,DANCE DIRECTION,Hermes Pan,Swing Time,False,1
391,1936,1937,9,FILM EDITING,Conrad A. Nervig,A Tale of Two Cities,False,0
394,1936,1937,9,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Max Steiner)",The Charge of the Light Brigade,False,0
395,1936,1937,9,MUSIC (Scoring),"Selznick International Pictures Music Department, Max Steiner, head of department  (Score by Max Steiner)",The Garden of Allah,False,0
398,1936,1937,9,MUSIC (Song),Music by Walter Donaldson; Lyrics by Harold Adamson,Suzy,False,0
400,1936,1937,9,MUSIC (Song),Music by Louis Alter; Lyrics by Sidney Mitchell,Trail of the Lonesome Pine,False,0
401,1936,1937,9,MUSIC (Song),Music by Arthur Johnston; Lyrics by Johnny Burke,Pennies from Heaven,False,0
403,1936,1937,9,MUSIC (Song),Music by Richard A. Whiting; Lyrics by Walter Bullock,"Sing, Baby, Sing",False,0
407,1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Libeled Lady,False,0
413,1936,1937,9,OUTSTANDING PRODUCTION,Universal,Three Smart Girls,False,0
414,1936,1937,9,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Country Cousin,True,1
415,1936,1937,9,SHORT SUBJECT (Cartoon),Harman-Ising,Old Mill Pond,False,0
416,1936,1937,9,SHORT SUBJECT (Cartoon),Paramount,Sinbad the Sailor,False,0
417,1936,1937,9,SHORT SUBJECT (Color),Warner Bros.,Give Me Liberty,True,1
418,1936,1937,9,SHORT SUBJECT (Color),"Lewis Lewyn, Producer",La Fiesta de Santa Barbara,False,0
419,1936,1937,9,SHORT SUBJECT (Color),Paramount,Popular Science J-6-2,False,0
420,1936,1937,9,SHORT SUBJECT (One-reel),"Hal Roach, Producer",Bored of Education,True,1
421,1936,1937,9,SHORT SUBJECT (One-reel),Paramount,Moscow Moods,False,0
422,1936,1937,9,SHORT SUBJECT (One-reel),"Pete Smith, Producer","Wanted, a Master",False,0
423,1936,1937,9,SHORT SUBJECT (Two-reel),Warner Bros.,Double or Nothing,False,0
424,1936,1937,9,SHORT SUBJECT (Two-reel),RKO Radio,Dummy Ache,False,0
425,1936,1937,9,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,The Public Pays,True,1
426,1936,1937,9,WRITING (Original Story),Norman Krasna,Fury,False,0
431,1936,1937,9,WRITING (Screenplay),"Frances Goodrich, Albert Hackett",After the Thin Man,False,0
436,1937,1938,10,ACTOR,Charles Boyer,Conquest,False,0
437,1937,1938,10,ACTOR,Fredric March,A Star Is Born,False,1
438,1937,1938,10,ACTOR,Robert Montgomery,Night Must Fall,False,0
439,1937,1938,10,ACTOR,Paul Muni,The Life of Emile Zola,False,3
440,1937,1938,10,ACTOR,Spencer Tracy,Captains Courageous,True,1
441,1937,1938,10,ACTOR IN A SUPPORTING ROLE,Ralph Bellamy,The Awful Truth,False,1
442,1937,1938,10,ACTOR IN A SUPPORTING ROLE,Thomas Mitchell,The Hurricane,False,0
444,1937,1938,10,ACTOR IN A SUPPORTING ROLE,H. B. Warner,Lost Horizon,False,2
445,1937,1938,10,ACTOR IN A SUPPORTING ROLE,Roland Young,Topper,False,0
447,1937,1938,10,ACTRESS,Greta Garbo,Camille,False,0
449,1937,1938,10,ACTRESS,Luise Rainer,The Good Earth,True,2
450,1937,1938,10,ACTRESS,Barbara Stanwyck,Stella Dallas,False,0
451,1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Alice Brady,In Old Chicago,True,1
452,1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Andrea Leeds,Stage Door,False,0
454,1937,1938,10,ACTRESS IN A SUPPORTING ROLE,Claire Trevor,Dead End,False,0
457,1937,1938,10,ART DIRECTION,Carroll Clark,A Damsel in Distress,False,1
459,1937,1938,10,ART DIRECTION,Wiard Ihnen,Every Day's a Holiday,False,0
462,1937,1938,10,ART DIRECTION,John Victor Mackay,Manhattan Merry-Go-Round,False,0
463,1937,1938,10,ART DIRECTION,Lyle Wheeler,The Prisoner of Zenda,False,0
464,1937,1938,10,ART DIRECTION,"Hans Dreier, Roland Anderson",Souls at Sea,False,0
465,1937,1938,10,ART DIRECTION,Alexander Toluboff,Walter Wanger's Vogues of 1938,False,0
466,1937,1938,10,ART DIRECTION,"William S. Darling, David Hall",Wee Willie Winkie,False,0
467,1937,1938,10,ART DIRECTION,Jack Otterson,You're a Sweetheart,False,0
470,1937,1938,10,CINEMATOGRAPHY,Joseph Valentine,Wings over Honolulu,False,0
471,1937,1938,10,DANCE DIRECTION,Busby Berkeley,Varsity Show,False,0
472,1937,1938,10,DANCE DIRECTION,Bobby Connolly,"Ready, Willing and Able",False,0
473,1937,1938,10,DANCE DIRECTION,Dave Gould,A Day at the Races,False,0
474,1937,1938,10,DANCE DIRECTION,Sammy Lee,Ali Baba Goes to Town,False,0
475,1937,1938,10,DANCE DIRECTION,Harry Losee,Thin Ice,False,0
477,1937,1938,10,DANCE DIRECTION,LeRoy Prinz,Waikiki Wedding,False,1
487,1937,1938,10,FILM EDITING,Bernard W. Burton,One Hundred Men and a Girl,False,1
492,1937,1938,10,MUSIC (Scoring),"Principal Productions, Dr. Hugo Riesenfeld, musical director  (Score by Dr. Hugo Riesenfeld)",Make a Wish,False,0
493,1937,1938,10,MUSIC (Scoring),"Metro-Goldwyn-Mayer Studio Music Department, Nat W. Finston, head of department  (Score by Herbert Stothart)",Maytime,False,0
495,1937,1938,10,MUSIC (Scoring),"Republic Studio Music Department, Alberto Colombo, head of department  (Score by Alberto Colombo)",Portia on Trial,False,0
497,1937,1938,10,MUSIC (Scoring),"RKO Radio Studio Music Department, Roy Webb, musical director  (Score by Roy Webb)",Quality Street,False,0
498,1937,1938,10,MUSIC (Scoring),"Walt Disney Studio Music Department, Leigh Harline, head of department  (Score by Frank Churchill, Leigh Harline and Paul J. Smith)",Snow White and the Seven Dwarfs,False,0
499,1937,1938,10,MUSIC (Scoring),"Grand National Studio Music Department, C. Bakaleinikoff, musical director  (Score by Victor Schertzinger)",Something to Sing About,False,0
501,1937,1938,10,MUSIC (Scoring),"Hal Roach Studio Music Department, Marvin Hatley, head of department  (Score by Marvin Hatley)",Way Out West,False,0
502,1937,1938,10,MUSIC (Song),Music by Harry Warren; Lyrics by Al Dubin,Mr. Dodd Takes the Air,False,0
505,1937,1938,10,MUSIC (Song),Music by George Gershwin; Lyrics by Ira Gershwin,Shall We Dance,False,0
506,1937,1938,10,MUSIC (Song),Music by Frederick Hollander; Lyrics by Leo Robin,Artists and Models,False,0
517,1937,1938,10,SHORT SUBJECT (Cartoon),Paramount,Educated Fish,False,0
518,1937,1938,10,SHORT SUBJECT (Cartoon),"Charles Mintz, Producer",The Little Match Girl,False,0
519,1937,1938,10,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Old Mill,True,1
520,1937,1938,10,SHORT SUBJECT (Color),Warner Bros.,The Man without a Country,False,0
521,1937,1938,10,SHORT SUBJECT (Color),"Pete Smith, Producer",Penny Wisdom,True,1
522,1937,1938,10,SHORT SUBJECT (Color),Paramount,Popular Science J-7-1,False,0
523,1937,1938,10,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,A Night at the Movies,False,0
524,1937,1938,10,SHORT SUBJECT (One-reel),Skibo Productions,The Private Life of the Gannets,True,1
