Title,Genre,Rating,Runtime,Sales,Language,Age Rating,Director,Cast1,Cast2,Cast3,Cast4,Country of Origin
Laughter,"Comedy, Romance",6.3,1   hour   25   minutes,NIL,English,Add content advisory,Harry d'Abbadie d'Arrast,Nancy Carroll,Fredric March,Frank Morgan,NIL,NIL
The Public Enemy,"Crime, Drama",7.6,1   hour   23   minutes,1214260,English,Not Rated,William A. Wellman,James Cagney,Jean Harlow,Edward Woods,NIL,United States
Smart Money,"Crime, Drama",6.8,1   hour   21   minutes,NIL,English,Passed,Alfred E. Green,Edward G. Robinson,James Cagney,Evalyn Knapp,NIL,NIL
The Champ,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
The Guardsman,"Comedy, Drama",6.5,1   hour   22   minutes,NIL,English,Passed,Sidney Franklin,Alfred Lunt,Lynn Fontanne,Roland Young,NIL,NIL
Dr. Jekyll and Mr. Hyde,"Horror, Sci-Fi",7.6,1   hour   38   minutes,16615,English,Passed,Rouben Mamoulian,Fredric March,Miriam Hopkins,Rose Hobart,NIL,United States
Emma,Drama,7,1   hour   12   minutes,NIL,English,Passed,Clarence Brown,Marie Dressler,Richard Cromwell,Jean Hersholt,NIL,NIL
The Guardsman,"Comedy, Drama",6.5,1   hour   22   minutes,NIL,English,Passed,Sidney Franklin,Alfred Lunt,Lynn Fontanne,Roland Young,NIL,NIL
The Sin of Madelon Claudet,Drama,6.6,1   hour   15   minutes,NIL,"English, French",Passed,Edgar Selwyn,Helen Hayes,Lewis Stone,Neil Hamilton,NIL,NIL
À Nous la Liberté,"Comedy, Musical",7.4,1   hour   44   minutes,NIL,French,Not Rated,René Clair,Raymond Cordy,Henri Marchand,Rolla France,NIL,NIL
Arrowsmith,Drama,6.2,1   hour   48   minutes,NIL,"English, Italian, Swedish",Approved,John Ford,Ronald Colman,Helen Hayes,Richard Bennett,NIL,NIL
Transatlantic,"Comedy, Drama",6.4,1   hour   18   minutes,NIL,English,Passed,William K. Howard,Edmund Lowe,Lois Moran,John Halliday,NIL,NIL
Arrowsmith,Drama,6.2,1   hour   48   minutes,NIL,"English, Italian, Swedish",Approved,John Ford,Ronald Colman,Helen Hayes,Richard Bennett,NIL,NIL
