Title,Genre,Rating,Runtime,Sales,Language,Age Rating,Director,Cast1,Cast2,Cast3,Cast4,Country of Origin
The Adventures of Baron Munchausen,NIL,8.4,1   hour   28   minutes,NIL,English,Add content advisory,Mick Garris,Ed Harris,Mary Elizabeth Mastrantonio,Michael Biehn,NIL,NIL
Batman,"Action, Adventure",7.5,2   hours   6   minutes,411569241,"English, French, Spanish",PG,Tim Burton,Michael Keaton,Jack Nicholson,Kim Basinger,NIL,"United States, United Kingdom"
Blaze,"Biography, Comedy",6,2   hours,19131246,English,R,Ron Shelton,Paul Newman,Lolita Davidovich,Jerry Hardin,NIL,United States
The Fabulous Baker Boys,"Comedy, Drama",6.9,1   hour   54   minutes,18428904,English,PG,Steve Kloves,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,NIL,United States
The Adventures of Baron Munchausen,NIL,8.4,1   hour   28   minutes,NIL,English,Add content advisory,Mick Garris,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,NIL,NIL
Harlem Nights,"Comedy, Crime",6,1   hour   56   minutes,60864870,English,M18,Eddie Murphy,Eddie Murphy,Richard Pryor,Redd Foxx,NIL,United States
Valmont,"Drama, Romance",7,2   hours   17   minutes,1132112,English,PG,Milos Forman,Colin Firth,Annette Bening,Meg Tilly,NIL,"France, United Kingdom"
Crimes and Misdemeanors,"Comedy, Drama",7.8,1   hour   44   minutes,18254702,"English, Hebrew",PG,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,NIL,United States
Adam Clayton Powell,Documentary,6.7,54   minutes,NIL,English,Not Rated,Richard Kilberg,Julian Bond,John Brademas,Calvin O. Butts III,NIL,NIL
Common Threads: Stories from the Quilt,"Documentary, Biography",8.1,1   hour   19   minutes,NIL,English,Add content advisory,Rob Epstein,Sara Lewinstein,David Mandell,Suzi Mandell,NIL,NIL
Crack USA: County under Siege,"Documentary, Short",6.6,42   minutes,NIL,English,Add content advisory,Vince DiPersio,Joe Mantegna,Tim Wagman,Jack Maxwell,NIL,NIL
For All Mankind,"Documentary, History",8.1,1   hour   20   minutes,770132,English,G,Al Reinert,Al Reinert,NIL,NIL,NIL,NIL
Super Chief: The Life and Legacy of Earl Warren,Documentary,7.5,1   hour   28   minutes,NIL,English,Add content advisory,Bill Jersey,Bill Jersey,NIL,NIL,NIL,NIL
"Fine Food, Fine Pastries, Open 6 to 9","Documentary, Short",7.2,29   minutes,NIL,English,Add content advisory,David Petersen,Bill Jersey,NIL,NIL,NIL,NIL
The Johnstown Flood,"Documentary, Short",7.6,26   minutes,NIL,English,Add content advisory,Charles Guggenheim,Len Cariou,Elam Bender,Randy Bender,NIL,NIL
Yad Vashem: Preserving the Past to Ensure the Future,NIL,6.8,15   minutes,NIL,English,Add content advisory,Ray Errol Fox,Ray Errol Fox,NIL,NIL,NIL,NIL
The Bear,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
The Fabulous Baker Boys,"Comedy, Drama",6.9,1   hour   54   minutes,18428904,English,PG,Steve Kloves,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,NIL,United States
Camille Claudel,Documentary,7.6,NIL,NIL,French,Add content advisory,Natalie Dessay,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,NIL,NIL
Cinema Paradiso,NIL,NIL,NIL,NIL,English,Add content advisory,NIL,NIL,NIL,NIL,NIL,NIL
Jesus of Montreal,"Drama, Romance",7.5,1   hour   58   minutes,1601612,"French, English, Italian",M18,Denys Arcand,Lothaire Bluteau,Catherine Wilkening,Johanne-Marie Tremblay,NIL,"Canada, France"
Waltzing Regitze,Drama,7.1,1   hour   42   minutes,NIL,Danish,Add content advisory,Kaspar Rostrup,Frits Helmuth,Mikael Helmuth,Ghita Nørby,NIL,NIL
What Happened to Santiago,"Comedy, Drama",7.2,1   hour   45   minutes,NIL,Spanish,Add content advisory,Jacobo Morales,Tommy Muñiz,Gladys Rodríguez,Johanna Rosaly,NIL,NIL
The Adventures of Baron Munchausen,NIL,8.4,1   hour   28   minutes,NIL,Spanish,Add content advisory,Mick Garris,Tommy Muñiz,Gladys Rodríguez,Johanna Rosaly,NIL,NIL
Dad,"Comedy, Drama",6.3,1   hour   57   minutes,27503037,English,PG,Gary David Goldberg,Jack Lemmon,Ted Danson,Olympia Dukakis,NIL,United States
The Fabulous Baker Boys,"Comedy, Drama",6.9,1   hour   54   minutes,18428904,English,PG,Steve Kloves,Jeff Bridges,Michelle Pfeiffer,Beau Bridges,NIL,United States
Field of Dreams,"Drama, Family",7.5,1   hour   47   minutes,84431625,English,PG,Phil Alden Robinson,Kevin Costner,James Earl Jones,Ray Liotta,NIL,United States
Indiana Jones and the Last Crusade,"Action, Adventure",8.2,2   hours   7   minutes,474171806,"English, German, Greek, Arabic",PG,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,NIL,United States
The Little Mermaid,"Animation, Adventure",7.6,1   hour   23   minutes,211343479,"English, French",G,Ron Clements,Jodi Benson,Samuel E. Wright,Rene Auberjonois,NIL,United States
Chances Are,"Comedy, Fantasy",6.4,1   hour   48   minutes,16278590,English,PG,Emile Ardolino,Cybill Shepherd,Robert Downey Jr.,Ryan O'Neal,NIL,United States
Shirley Valentine,"Comedy, Drama",7.2,1   hour   48   minutes,6056912,English,R,Lewis Gilbert,Pauline Collins,Tom Conti,Julia McKenzie,NIL,"United Kingdom, United States"
Parenthood,"Comedy, Drama",7,2   hours   4   minutes,126297830,"English, Spanish",NC-16,Ron Howard,Steve Martin,Mary Steenburgen,Dianne Wiest,NIL,United States
Field of Dreams,"Drama, Family",7.5,1   hour   47   minutes,84431625,English,PG,Phil Alden Robinson,Kevin Costner,James Earl Jones,Ray Liotta,NIL,United States
Balance,"Animation, Short",7.9,7   minutes,42684,None,Parents guide,Christoph Lauenstein,Kevin Costner,James Earl Jones,Ray Liotta,NIL,"Germany, West Germany"
The Cow,"Animation, Short",7.5,10   minutes,42684,Russian,Parents guide,Aleksandr Petrov,Nikolai Gusarov,Lyubov Teplova,Kostya Panov,NIL,Soviet Union
The Hill Farm,NIL,6.7,18   minutes,NIL,Russian,Add content advisory,Mark Baker,Mark Baker,NIL,NIL,NIL,NIL
Amazon Diary,Short,NIL,17   minutes,NIL,English,Add content advisory,Robert Nixon,Mark Baker,NIL,NIL,NIL,NIL
The Childeater,Short,6.9,15   minutes,NIL,English,Add content advisory,Jonathan Tammuz,Alun Armstrong,Jonathan Cecil,Anna Cropper,NIL,NIL
Work Experience,"Short, Comedy",6.7,11   minutes,NIL,English,Add content advisory,James Hendrie,Lenny Henry,Susan Brown,Kathy Burke,NIL,NIL
Black Rain,"Action, Crime",6.6,2   hours   5   minutes,134212055,"English, Japanese",M18,Ridley Scott,Michael Douglas,Andy Garcia,Ken Takakura,NIL,United States
Black Rain,"Action, Crime",6.6,2   hours   5   minutes,134212055,"English, Japanese",M18,Ridley Scott,Michael Douglas,Andy Garcia,Ken Takakura,NIL,United States
Lethal Weapon 2,"Action, Crime",7.2,1   hour   54   minutes,227853986,"English, Afrikaans",M18,Richard Donner,Mel Gibson,Danny Glover,Joe Pesci,NIL,United States
The Adventures of Baron Munchausen,NIL,8.4,1   hour   28   minutes,NIL,"English, Afrikaans",Add content advisory,Mick Garris,Mel Gibson,Danny Glover,Joe Pesci,NIL,NIL
Back to the Future Part II,"Adventure, Comedy",7.8,1   hour   48   minutes,332500002,English,PG,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,NIL,United States
"Enemies, A Love Story","Comedy, Drama",6.6,1   hour   59   minutes,7754571,English,R,Paul Mazursky,Ron Silver,Anjelica Huston,Lena Olin,NIL,United States
Field of Dreams,"Drama, Family",7.5,1   hour   47   minutes,84431625,English,PG,Phil Alden Robinson,Kevin Costner,James Earl Jones,Ray Liotta,NIL,United States
Crimes and Misdemeanors,"Comedy, Drama",7.8,1   hour   44   minutes,18254702,"English, Hebrew",PG,Woody Allen,Martin Landau,Woody Allen,Bill Bernstein,NIL,United States
Do the Right Thing,"Comedy, Drama",7.9,2   hours,37295445,"English, Italian, Spanish, Korean",M18,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,NIL,United States
"sex, lies, and videotape",Drama,7.2,1   hour   40   minutes,24741667,English,M18,Steven Soderbergh,James Spader,Andie MacDowell,Peter Gallagher,NIL,United States
When Harry Met Sally...,"Comedy, Drama",7.7,1   hour   35   minutes,93273565,English,NC-16,Rob Reiner,Billy Crystal,Meg Ryan,Carrie Fisher,NIL,United States
Dances With Wolves,"Adventure, Drama",8,3   hours   1   minute,424208848,"English, Sioux, Pawnee",PG,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,NIL,"United States, United Kingdom"
Awakenings,"Biography, Drama",7.8,2   hours   1   minute,52096475,English,PG,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,NIL,United States
Cyrano de Bergerac,"Comedy, Drama",7.5,2   hours   17   minutes,5822041,French,PG,Jean-Paul Rappeneau,Gérard Depardieu,Anne Brochet,Vincent Perez,NIL,France
The Field,"Drama, Thriller",7.3,1   hour   47   minutes,1494399,English,PG-13,Jim Sheridan,Richard Harris,John Hurt,Sean Bean,NIL,Ireland
Reversal of Fortune,"Biography, Drama",7.2,1   hour   51   minutes,15445131,"English, German",PG,Barbet Schroeder,Jeremy Irons,Glenn Close,Ron Silver,NIL,"United States, Japan, United Kingdom"
Longtime Companion,NIL,NIL,NIL,NIL,"English, German",Add content advisory,Keith Chawgo,Jeremy Irons,Glenn Close,Ron Silver,NIL,NIL
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
Dick Tracy,"Action, Comedy",6.2,1   hour   45   minutes,162738726,English,PG,Warren Beatty,Warren Beatty,Madonna,Al Pacino,NIL,United States
Good Fellas,"Biography, Crime",8.7,2   hours   25   minutes,47036784,"English, Italian",M18,Martin Scorsese,Robert De Niro,Ray Liotta,Joe Pesci,NIL,United States
Misery,"Drama, Thriller",7.8,1   hour   47   minutes,61277271,English,NC-16,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,NIL,United States
The Grifters,"Crime, Drama",6.9,1   hour   50   minutes,13446769,English,M18,Stephen Frears,Anjelica Huston,John Cusack,Annette Bening,NIL,"United States, Canada"
Pretty Woman,"Comedy, Romance",7.1,1   hour   59   minutes,463406268,English,PG,Garry Marshall,Richard Gere,Julia Roberts,Jason Alexander,NIL,United States
Postcards from the Edge,"Comedy, Drama",6.7,1   hour   41   minutes,39071603,"English, Spanish",PG,Mike Nichols,Meryl Streep,Shirley MacLaine,Dennis Quaid,NIL,United States
Mr. & Mrs. Bridge,"Comedy, Family",8.6,25   minutes,NIL,English,PG,Rowan Atkinson,Rowan Atkinson,Richard Curtis,NIL,NIL,NIL
The Grifters,"Crime, Drama",6.9,1   hour   50   minutes,13446769,English,M18,Stephen Frears,Anjelica Huston,John Cusack,Annette Bening,NIL,"United States, Canada"
Ghost,"Drama, Fantasy",7.1,2   hours   7   minutes,505703557,English,PG,Jerry Zucker,Patrick Swayze,Demi Moore,Whoopi Goldberg,NIL,United States
Wild at Heart,"Comedy, Crime",7.2,2   hours   5   minutes,14561425,"English, Spanish",M18,David Lynch,Nicolas Cage,Laura Dern,Willem Dafoe,NIL,United States
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
Hamlet,Drama,6.7,2   hours   15   minutes,20710451,English,PG,Franco Zeffirelli,Mel Gibson,Glenn Close,Alan Bates,NIL,"United States, United Kingdom, France"
Avalon,Drama,7.2,2   hours   8   minutes,15779578,"English, Yiddish",PG,Barry Levinson,Aidan Quinn,Elizabeth Perkins,Leo Fuchs,NIL,United States
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
Henry & June,"Biography, Drama",6.3,2   hours   16   minutes,23472449,"English, French",NC-17,Philip Kaufman,Fred Ward,Uma Thurman,Maria de Medeiros,NIL,"United States, France"
Avalon,Drama,7.2,2   hours   8   minutes,15779578,"English, Yiddish",PG,Barry Levinson,Aidan Quinn,Elizabeth Perkins,Leo Fuchs,NIL,United States
Hamlet,Drama,6.7,2   hours   15   minutes,20710451,English,PG,Franco Zeffirelli,Mel Gibson,Glenn Close,Alan Bates,NIL,"United States, United Kingdom, France"
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
The Grifters,"Crime, Drama",6.9,1   hour   50   minutes,13446769,English,M18,Stephen Frears,Anjelica Huston,John Cusack,Annette Bening,NIL,"United States, Canada"
American Dream,Documentary,7.8,1   hour   38   minutes,269823,English,PG-13,Barbara Kopple,Barbara Kopple,Cathy Caplan,Thomas Haneke,NIL,"United States, United Kingdom"
Berkeley in the Sixties,"Documentary, History",7.4,1   hour   57   minutes,NIL,English,Not Rated,Mark Kitchell,Jentri Anders,Joan Baez,Frank Bardacke,NIL,NIL
Building Bombs,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,Documentary,5.8,1   hour,NIL,English,Add content advisory,Connie Field,Ronnie Gilbert,Maury Colow,Ruth Davidow,NIL,NIL
Waldo Salt: A Screenwriter's Journey,"Documentary, Biography",7,1   hour   30   minutes,NIL,English,Add content advisory,Eugene Corr,Peter Coyote,Mary Davenport,Jerome Hellman,NIL,NIL
Burning Down Tomorrow,"Documentary, Short",7.7,NIL,NIL,English,Add content advisory,Kit Thomas,Peter Coyote,Mary Davenport,Jerome Hellman,NIL,NIL
Chimps: So Like Us,"Documentary, Short",7.2,30   minutes,NIL,English,Add content advisory,Karen Goodman,Karen Goodman,Kirk Simon,NIL,NIL,NIL
Days of Waiting,"Documentary, Short",7.6,28   minutes,NIL,English,Add content advisory,Steven Okazaki,Estelle Peck Ishigo,Lynn O'Donnell,Dorothy Stroup,NIL,NIL
Journey into Life: The World of the Unborn,"Documentary, Short",6.2,25   minutes,NIL,English,Add content advisory,Derek Bromhall,Fay DeWitt,NIL,NIL,NIL,NIL
Rose Kennedy: A Life to Remember,"Documentary, Short",6,18   minutes,NIL,English,Add content advisory,Terry Sanders,Ted Kennedy,NIL,NIL,NIL,NIL
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
The Hunt for Red October,"Action, Adventure",7.6,2   hours   15   minutes,200512643,"English, Russian",PG,John McTiernan,Sean Connery,Alec Baldwin,Scott Glenn,NIL,United States
Journey of Hope,Drama,7.5,1   hour   45   minutes,261718,"Turkish, Swiss German, Italian",PG,Xavier Koller,Necmettin Çobanoglu,Nur Sürer,Emin Sivas,NIL,"Switzerland, Turkey, United Kingdom, France"
Ju Dou,"Drama, Romance",7.6,1   hour   35   minutes,1986433,Mandarin,PG,Yimou Zhang,Gong Li,Wei Li,Baotian Li,NIL,"China, Japan"
The Nasty Girl,"Comedy, Drama",7.3,1   hour   34   minutes,2293625,German,PG-13,Michael Verhoeven,Lena Stolze,Hans-Reinhard Müller,Monika Baumgartner,NIL,West Germany
Open Doors,"Crime, Drama",7.1,1   hour   48   minutes,123470,Italian,R,Gianni Amelio,Gian Maria Volontè,Ennio Fantastichini,Renato Carpentieri,NIL,Italy
Edward Scissorhands,"Drama, Fantasy",7.9,1   hour   45   minutes,86024005,English,PG,Tim Burton,Johnny Depp,Winona Ryder,Dianne Wiest,NIL,United States
Avalon,Drama,7.2,2   hours   8   minutes,15779578,"English, Yiddish",PG,Barry Levinson,Aidan Quinn,Elizabeth Perkins,Leo Fuchs,NIL,United States
Havana,NIL,NIL,NIL,NIL,"English, Yiddish",Add content advisory,Jana Bokova,Jana Bokova,NIL,NIL,NIL,NIL
Home Alone,"Comedy, Family",7.7,1   hour   43   minutes,476684675,English,PG,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,NIL,United States
Young Guns II,"Action, Western",6.5,1   hour   44   minutes,44143410,English,PG,Geoff Murphy,Emilio Estevez,Kiefer Sutherland,Lou Diamond Phillips,NIL,United States
Postcards from the Edge,"Comedy, Drama",6.7,1   hour   41   minutes,39071603,"English, Spanish",PG,Mike Nichols,Meryl Streep,Shirley MacLaine,Dennis Quaid,NIL,United States
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
Home Alone,"Comedy, Family",7.7,1   hour   43   minutes,476684675,English,PG,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,NIL,United States
Awakenings,"Biography, Drama",7.8,2   hours   1   minute,52096475,English,PG,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,NIL,United States
"The Godfather, Part III","Crime, Drama",7.6,2   hours   42   minutes,136861392,"English, Italian, German, Latin",PG,Francis Ford Coppola,Al Pacino,Diane Keaton,Andy Garcia,NIL,United States
Creature Comforts,"Short, Music",NIL,10   minutes,NIL,English,Add content advisory,Paul Brad Logan,Neil Maris,Magali Pijpers,Esteban Rey,NIL,NIL
A Grand Day Out,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Grasshoppers (Cavallette),Animation,7.4,6   minutes,NIL,None,Add content advisory,NIL,NIL,NIL,NIL,NIL,NIL
Bronx Cheers,"Short, Sport",6.8,30   minutes,NIL,English,Add content advisory,Raymond De Felitta,Macka Foley,Jolene Rae Harrington,Cathy McAuley,NIL,NIL
Dear Rosie,"Short, Comedy",6.5,11   minutes,NIL,English,Add content advisory,Peter Cattaneo,Fiona Victory,Terence Wilton,Remy Beard,NIL,NIL
The Lunch Date,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Senzeni Na? (What Have We Done?),NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
12:01 pm,"Short, Sci-Fi",7.6,25   minutes,NIL,English,Add content advisory,Jonathan Heap,Jane Alden,Don Amendolia,John Bachelder,NIL,NIL
Days of Thunder,"Action, Drama",6,1   hour   47   minutes,157920733,"English, French",PG,Tony Scott,Tom Cruise,Nicole Kidman,Robert Duvall,NIL,United States
Total Recall,"Action, Adventure",7.5,1   hour   53   minutes,261317921,English,M18,Paul Verhoeven,Arnold Schwarzenegger,Sharon Stone,Michael Ironside,NIL,"United States, Mexico"
Flatliners,"Drama, Horror",6.5,1   hour   55   minutes,61489265,English,M18,Joel Schumacher,Kiefer Sutherland,Kevin Bacon,Julia Roberts,NIL,United States
Awakenings,"Biography, Drama",7.8,2   hours   1   minute,52096475,English,PG,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,NIL,United States
The Grifters,"Crime, Drama",6.9,1   hour   50   minutes,13446769,English,M18,Stephen Frears,Anjelica Huston,John Cusack,Annette Bening,NIL,"United States, Canada"
Alice,"Comedy, Romance",6.6,1   hour   46   minutes,7331647,"English, Cantonese",PG,Woody Allen,Mia Farrow,William Hurt,Joe Mantegna,NIL,United States
Avalon,Drama,7.2,2   hours   8   minutes,15779578,"English, Yiddish",PG,Barry Levinson,Aidan Quinn,Elizabeth Perkins,Leo Fuchs,NIL,United States
Green Card,"Comedy, Drama",6.3,1   hour   47   minutes,29888235,"English, French, Spanish",PG,Peter Weir,Gérard Depardieu,Andie MacDowell,Bebe Neuwirth,NIL,"France, Australia, United States"
Metropolitan,"Comedy, Drama",7.3,1   hour   38   minutes,2960492,English,PG,Whit Stillman,Carolyn Farina,Edward Clements,Chris Eigeman,NIL,"United States, Spain"
Bugsy,"Biography, Crime",6.8,2   hours   16   minutes,49114016,English,PG,Barry Levinson,Warren Beatty,Annette Bening,Harvey Keitel,NIL,United States
Cape Fear,"Crime, Thriller",7.3,2   hours   8   minutes,182291969,English,PG,Martin Scorsese,Robert De Niro,Nick Nolte,Jessica Lange,NIL,United States
The Silence of the Lambs,"Crime, Drama",8.6,1   hour   58   minutes,272742922,"English, Latin",R(A),Jonathan Demme,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,NIL,United States
The Prince of Tides,"Drama, Romance",6.8,2   hours   12   minutes,74787599,English,M18,Barbra Streisand,Barbra Streisand,Nick Nolte,Blythe Danner,NIL,United States
The Fisher King,"Comedy, Drama",7.5,2   hours   17   minutes,41895491,English,R,Terry Gilliam,Jeff Bridges,Robin Williams,Adam Bryant,NIL,United States
JFK,"Drama, History",8,3   hours   9   minutes,205405498,"English, Spanish",NC-16,Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,NIL,"United States, France"
Barton Fink,"Comedy, Drama",7.6,1   hour   56   minutes,6153939,English,PG,Joel Coen,John Turturro,John Goodman,Judy Davis,NIL,"United Kingdom, United States"
City Slickers,"Comedy, Western",6.8,1   hour   53   minutes,179033791,English,PG,Ron Underwood,Billy Crystal,Jack Palance,Daniel Stern,NIL,United States
Thelma & Louise,"Adventure, Crime",7.5,2   hours   10   minutes,45457532,English,M18,Ridley Scott,Susan Sarandon,Geena Davis,Harvey Keitel,NIL,"United States, United Kingdom, France"
Rambling Rose,Drama,6.6,1   hour   52   minutes,6266621,English,R,Martha Coolidge,Laura Dern,Robert Duvall,Diane Ladd,NIL,United States
For the Boys,"Comedy, Drama",6.3,2   hours   18   minutes,23202444,English,PG,Mark Rydell,Bette Midler,James Caan,George Segal,NIL,United States
Rambling Rose,Drama,6.6,1   hour   52   minutes,6266621,English,R,Martha Coolidge,Laura Dern,Robert Duvall,Diane Ladd,NIL,United States
Cape Fear,"Crime, Thriller",7.3,2   hours   8   minutes,182291969,English,PG,Martin Scorsese,Robert De Niro,Nick Nolte,Jessica Lange,NIL,United States
The Prince of Tides,"Drama, Romance",6.8,2   hours   12   minutes,74787599,English,M18,Barbra Streisand,Barbra Streisand,Nick Nolte,Blythe Danner,NIL,United States
Fried Green Tomatoes,Drama,7.7,2   hours   10   minutes,119418501,English,PG,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,NIL,United States
Barton Fink,"Comedy, Drama",7.6,1   hour   56   minutes,6153939,English,PG,Joel Coen,John Turturro,John Goodman,Judy Davis,NIL,"United Kingdom, United States"
Hook,"Adventure, Comedy",6.8,2   hours   22   minutes,300854823,English,PG,Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,NIL,United States
The Prince of Tides,"Drama, Romance",6.8,2   hours   12   minutes,74787599,English,M18,Barbra Streisand,Barbra Streisand,Nick Nolte,Blythe Danner,NIL,United States
The Prince of Tides,"Drama, Romance",6.8,2   hours   12   minutes,74787599,English,M18,Barbra Streisand,Barbra Streisand,Nick Nolte,Blythe Danner,NIL,United States
Terminator 2: Judgment Day,"Action, Sci-Fi",8.6,2   hours   17   minutes,520881154,"English, Spanish",NC-16,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,NIL,United States
The Addams Family,"Comedy, Fantasy",6.9,1   hour   39   minutes,191502426,"English, Italian, French",PG,Barry Sonnenfeld,Anjelica Huston,Raul Julia,Christopher Lloyd,NIL,United States
Barton Fink,"Comedy, Drama",7.6,1   hour   56   minutes,6153939,English,PG,Joel Coen,John Turturro,John Goodman,Judy Davis,NIL,"United Kingdom, United States"
Hook,"Adventure, Comedy",6.8,2   hours   22   minutes,300854823,English,PG,Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,NIL,United States
Madame Bovary,"Drama, Romance",6.6,2   hours   23   minutes,1942423,"French, Latin",PG,Claude Chabrol,Isabelle Huppert,Jean-François Balmer,Christophe Malavoy,NIL,France
Boyz N the Hood,"Crime, Drama",7.8,1   hour   52   minutes,57529070,English,M18,John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,NIL,United States
Death on the Job,Documentary,7.5,49   minutes,NIL,English,Add content advisory,Vince DiPersio,Joe Mantegna,NIL,NIL,NIL,NIL
Doing Time: Life inside the Big House,Documentary,7.2,1   hour,NIL,English,Add content advisory,Alan Raymond,Alan Raymond,NIL,NIL,NIL,NIL
In the Shadow of the Stars,Documentary,6.6,1   hour   33   minutes,NIL,English,Not Rated,Allie Light,Allie Light,Irving Saraf,NIL,NIL,NIL
The Restless Conscience,Documentary,7.5,1   hour   53   minutes,NIL,English,Not Rated,Hava Kohav Beller,John Dildine,Roland Freisler,Carl Friedrich Goerdeler,NIL,NIL
Wild by Law,Documentary,7.1,52   minutes,NIL,English,Add content advisory,Diane Garey,Linda Hunt,Ralph Waite,Richard B. Shull,NIL,NIL
Birdnesters of Thailand (aka 'Shadow Hunters'),NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment","Documentary, Short",6.8,27   minutes,NIL,English,Add content advisory,Debra Chasnoff,Linda Hunt,Ralph Waite,Richard B. Shull,NIL,NIL
A Little Vicious,"Documentary, Short",7.9,30   minutes,NIL,English,Add content advisory,Immy Humes,Kevin Bacon,NIL,NIL,NIL,NIL
The Mark of the Maker,"Documentary, Short",6.2,28   minutes,NIL,English,Add content advisory,David McGowan,David McGowan,NIL,NIL,NIL,NIL
Memorial: Letters from American Soldiers,"Documentary, Short",6.7,19   minutes,NIL,English,Add content advisory,Bill Couturié,Leo Downey,Robert Hegyes,Bill Irwin,NIL,NIL
The Commitments,"Comedy, Drama",7.6,1   hour   58   minutes,14919570,"English, Irish Gaelic",PG,Alan Parker,Robert Arkins,Michael Aherne,Angeline Ball,NIL,"Ireland, United Kingdom, United States"
Children of Nature,"Drama, Romance",7.3,1   hour   22   minutes,NIL,"Icelandic, English",Add content advisory,Friðrik Þór Friðriksson,Gísli Halldórsson,Sigríður Hagalín,Baldvin Halldórsson,NIL,NIL
The Elementary School,"Comedy, Drama",7.8,1   hour   40   minutes,NIL,Czech,Parents guide,Jan Sverák,Jan Tríska,Zdenek Sverák,Libuse Safránková,NIL,NIL
Mediterraneo,"Comedy, Drama",7.4,1   hour   36   minutes,4532791,"Italian, English, Greek, Turkish",R,Gabriele Salvatores,Diego Abatantuono,Claudio Bigagli,Giuseppe Cederna,NIL,Italy
The Ox,Drama,7.1,1   hour   32   minutes,14513,Swedish,Not Rated,Sven Nykvist,Stellan Skarsgård,Ewa Fröling,Erland Josephson,NIL,"Sweden, Norway, Denmark"
Raise the Red Lantern,"Drama, History",8.1,2   hours   5   minutes,2603061,Mandarin,PG,Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,NIL,"China, Hong Kong"
Hook,"Adventure, Comedy",6.8,2   hours   22   minutes,300854823,English,PG,Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,NIL,United States
Star Trek VI The Undiscovered Country,"Action, Adventure",7.2,1   hour   50   minutes,96888996,"English, Klingon",PG,Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,NIL,United States
Beauty and the Beast,"Animation, Family",8,1   hour   24   minutes,424967620,"English, French",G,Gary Trousdale,Paige O'Hara,Robby Benson,Jesse Corti,NIL,United States
The Prince of Tides,"Drama, Romance",6.8,2   hours   12   minutes,74787599,English,M18,Barbra Streisand,Barbra Streisand,Nick Nolte,Blythe Danner,NIL,United States
Hook,"Adventure, Comedy",6.8,2   hours   22   minutes,300854823,English,PG,Steven Spielberg,Dustin Hoffman,Robin Williams,Julia Roberts,NIL,United States
